Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40BL-1-67-IVSD-TR"
Duration Time,60.208
Ambient Temperature,"103.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"694506"
Raw Accumulated Counts,"718785"
Valid Count Last Packet,"10862"
Raw Count Last Packet,"11235"
Live Time,58.527020
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.842
Number of Channels,2048
Vacuum,632
Channel#,Intensity
0,"2033"
1,"1541"
2,"978"
3,"475"
4,"162"
5,"42"
6,"7"
7,"3"
8,"1"
9,"2"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"1"
25,"2"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"5"
32,"43"
33,"119"
34,"160"
35,"153"
36,"189"
37,"229"
38,"192"
39,"186"
40,"189"
41,"198"
42,"180"
43,"175"
44,"179"
45,"180"
46,"203"
47,"172"
48,"172"
49,"182"
50,"162"
51,"184"
52,"178"
53,"147"
54,"165"
55,"163"
56,"162"
57,"169"
58,"167"
59,"165"
60,"186"
61,"163"
62,"162"
63,"163"
64,"132"
65,"171"
66,"141"
67,"156"
68,"163"
69,"145"
70,"137"
71,"150"
72,"147"
73,"139"
74,"149"
75,"151"
76,"131"
77,"160"
78,"127"
79,"126"
80,"138"
81,"128"
82,"145"
83,"124"
84,"137"
85,"156"
86,"164"
87,"165"
88,"150"
89,"176"
90,"146"
91,"137"
92,"148"
93,"156"
94,"140"
95,"180"
96,"212"
97,"215"
98,"206"
99,"205"
100,"203"
101,"152"
102,"138"
103,"134"
104,"121"
105,"109"
106,"116"
107,"137"
108,"108"
109,"120"
110,"103"
111,"101"
112,"125"
113,"126"
114,"129"
115,"133"
116,"135"
117,"124"
118,"115"
119,"118"
120,"88"
121,"100"
122,"114"
123,"98"
124,"99"
125,"97"
126,"113"
127,"108"
128,"105"
129,"106"
130,"112"
131,"115"
132,"113"
133,"113"
134,"101"
135,"101"
136,"101"
137,"99"
138,"108"
139,"121"
140,"107"
141,"120"
142,"112"
143,"122"
144,"131"
145,"144"
146,"147"
147,"147"
148,"151"
149,"166"
150,"149"
151,"152"
152,"129"
153,"123"
154,"125"
155,"118"
156,"121"
157,"101"
158,"91"
159,"95"
160,"107"
161,"122"
162,"124"
163,"150"
164,"156"
165,"195"
166,"214"
167,"226"
168,"221"
169,"185"
170,"167"
171,"141"
172,"136"
173,"128"
174,"119"
175,"130"
176,"165"
177,"199"
178,"236"
179,"457"
180,"820"
181,"1600"
182,"2769"
183,"4385"
184,"6013"
185,"7147"
186,"8057"
187,"7605"
188,"6358"
189,"4667"
190,"3080"
191,"1669"
192,"852"
193,"384"
194,"237"
195,"185"
196,"198"
197,"325"
198,"445"
199,"722"
200,"1025"
201,"1251"
202,"1279"
203,"1305"
204,"1151"
205,"920"
206,"648"
207,"357"
208,"236"
209,"118"
210,"74"
211,"51"
212,"54"
213,"30"
214,"36"
215,"35"
216,"51"
217,"34"
218,"46"
219,"40"
220,"38"
221,"43"
222,"58"
223,"75"
224,"91"
225,"143"
226,"172"
227,"185"
228,"172"
229,"142"
230,"135"
231,"117"
232,"107"
233,"111"
234,"85"
235,"70"
236,"69"
237,"68"
238,"40"
239,"45"
240,"38"
241,"33"
242,"47"
243,"38"
244,"42"
245,"48"
246,"53"
247,"67"
248,"65"
249,"64"
250,"48"
251,"59"
252,"51"
253,"61"
254,"37"
255,"30"
256,"46"
257,"29"
258,"33"
259,"27"
260,"42"
261,"32"
262,"31"
263,"30"
264,"36"
265,"41"
266,"33"
267,"44"
268,"51"
269,"49"
270,"56"
271,"60"
272,"62"
273,"74"
274,"57"
275,"60"
276,"46"
277,"38"
278,"40"
279,"53"
280,"48"
281,"35"
282,"50"
283,"41"
284,"38"
285,"41"
286,"38"
287,"40"
288,"26"
289,"34"
290,"55"
291,"35"
292,"55"
293,"66"
294,"80"
295,"107"
296,"111"
297,"125"
298,"116"
299,"111"
300,"114"
301,"94"
302,"76"
303,"65"
304,"60"
305,"60"
306,"67"
307,"53"
308,"73"
309,"74"
310,"85"
311,"111"
312,"139"
313,"208"
314,"354"
315,"760"
316,"1231"
317,"2337"
318,"3598"
319,"5386"
320,"7453"
321,"9199"
322,"10386"
323,"10767"
324,"9994"
325,"8433"
326,"6587"
327,"4544"
328,"2934"
329,"1745"
330,"953"
331,"487"
332,"233"
333,"117"
334,"77"
335,"56"
336,"61"
337,"51"
338,"37"
339,"50"
340,"49"
341,"44"
342,"60"
343,"50"
344,"61"
345,"65"
346,"83"
347,"135"
348,"196"
349,"288"
350,"486"
351,"682"
352,"993"
353,"1307"
354,"1563"
355,"1765"
356,"1844"
357,"1689"
358,"1523"
359,"1213"
360,"872"
361,"616"
362,"376"
363,"187"
364,"127"
365,"78"
366,"36"
367,"32"
368,"22"
369,"22"
370,"27"
371,"28"
372,"38"
373,"27"
374,"40"
375,"52"
376,"54"
377,"60"
378,"61"
379,"42"
380,"34"
381,"36"
382,"34"
383,"27"
384,"28"
385,"23"
386,"24"
387,"19"
388,"17"
389,"22"
390,"21"
391,"15"
392,"15"
393,"18"
394,"19"
395,"24"
396,"15"
397,"26"
398,"20"
399,"34"
400,"50"
401,"40"
402,"58"
403,"71"
404,"78"
405,"84"
406,"71"
407,"70"
408,"68"
409,"63"
410,"39"
411,"47"
412,"38"
413,"35"
414,"17"
415,"20"
416,"30"
417,"20"
418,"23"
419,"27"
420,"28"
421,"22"
422,"26"
423,"23"
424,"24"
425,"15"
426,"31"
427,"34"
428,"45"
429,"51"
430,"66"
431,"70"
432,"123"
433,"115"
434,"151"
435,"161"
436,"170"
437,"161"
438,"142"
439,"99"
440,"83"
441,"61"
442,"49"
443,"42"
444,"37"
445,"36"
446,"37"
447,"28"
448,"36"
449,"36"
450,"27"
451,"37"
452,"40"
453,"25"
454,"16"
455,"32"
456,"36"
457,"19"
458,"28"
459,"26"
460,"33"
461,"30"
462,"40"
463,"38"
464,"23"
465,"47"
466,"31"
467,"35"
468,"42"
469,"41"
470,"37"
471,"33"
472,"36"
473,"39"
474,"20"
475,"31"
476,"39"
477,"37"
478,"39"
479,"47"
480,"61"
481,"58"
482,"40"
483,"47"
484,"59"
485,"46"
486,"54"
487,"49"
488,"39"
489,"30"
490,"32"
491,"35"
492,"38"
493,"37"
494,"40"
495,"41"
496,"28"
497,"44"
498,"44"
499,"36"
500,"39"
501,"40"
502,"38"
503,"44"
504,"34"
505,"56"
506,"46"
507,"38"
508,"54"
509,"49"
510,"55"
511,"41"
512,"53"
513,"44"
514,"51"
515,"54"
516,"60"
517,"53"
518,"53"
519,"52"
520,"60"
521,"60"
522,"52"
523,"62"
524,"48"
525,"47"
526,"51"
527,"59"
528,"76"
529,"75"
530,"66"
531,"92"
532,"85"
533,"75"
534,"72"
535,"74"
536,"62"
537,"83"
538,"60"
539,"63"
540,"70"
541,"63"
542,"76"
543,"63"
544,"61"
545,"61"
546,"64"
547,"66"
548,"66"
549,"70"
550,"70"
551,"72"
552,"78"
553,"86"
554,"90"
555,"81"
556,"83"
557,"84"
558,"83"
559,"90"
560,"79"
561,"96"
562,"81"
563,"110"
564,"104"
565,"100"
566,"127"
567,"97"
568,"104"
569,"113"
570,"107"
571,"93"
572,"99"
573,"123"
574,"103"
575,"122"
576,"96"
577,"117"
578,"106"
579,"94"
580,"97"
581,"107"
582,"102"
583,"99"
584,"98"
585,"104"
586,"108"
587,"106"
588,"89"
589,"128"
590,"125"
591,"127"
592,"123"
593,"138"
594,"121"
595,"126"
596,"137"
597,"149"
598,"149"
599,"149"
600,"151"
601,"138"
602,"135"
603,"138"
604,"154"
605,"148"
606,"152"
607,"126"
608,"130"
609,"147"
610,"137"
611,"130"
612,"139"
613,"123"
614,"132"
615,"170"
616,"146"
617,"132"
618,"178"
619,"148"
620,"168"
621,"144"
622,"178"
623,"181"
624,"169"
625,"166"
626,"163"
627,"151"
628,"176"
629,"177"
630,"161"
631,"173"
632,"177"
633,"181"
634,"175"
635,"173"
636,"174"
637,"205"
638,"192"
639,"192"
640,"188"
641,"175"
642,"226"
643,"196"
644,"172"
645,"199"
646,"175"
647,"179"
648,"182"
649,"182"
650,"190"
651,"202"
652,"219"
653,"213"
654,"219"
655,"210"
656,"217"
657,"206"
658,"215"
659,"245"
660,"227"
661,"232"
662,"219"
663,"204"
664,"264"
665,"249"
666,"235"
667,"248"
668,"268"
669,"298"
670,"327"
671,"311"
672,"334"
673,"365"
674,"371"
675,"352"
676,"312"
677,"335"
678,"325"
679,"352"
680,"279"
681,"285"
682,"261"
683,"271"
684,"268"
685,"301"
686,"285"
687,"272"
688,"249"
689,"279"
690,"270"
691,"290"
692,"268"
693,"264"
694,"269"
695,"260"
696,"273"
697,"260"
698,"280"
699,"318"
700,"330"
701,"370"
702,"403"
703,"477"
704,"630"
705,"814"
706,"994"
707,"1230"
708,"1508"
709,"1932"
710,"2240"
711,"2418"
712,"2702"
713,"2840"
714,"2857"
715,"2674"
716,"2478"
717,"2107"
718,"1820"
719,"1481"
720,"1182"
721,"948"
722,"732"
723,"549"
724,"457"
725,"395"
726,"353"
727,"277"
728,"289"
729,"302"
730,"297"
731,"304"
732,"292"
733,"283"
734,"329"
735,"299"
736,"282"
737,"282"
738,"285"
739,"293"
740,"313"
741,"297"
742,"324"
743,"363"
744,"359"
745,"388"
746,"339"
747,"354"
748,"356"
749,"383"
750,"377"
751,"394"
752,"416"
753,"423"
754,"426"
755,"406"
756,"416"
757,"427"
758,"400"
759,"340"
760,"407"
761,"349"
762,"351"
763,"370"
764,"341"
765,"340"
766,"345"
767,"325"
768,"357"
769,"316"
770,"329"
771,"306"
772,"342"
773,"327"
774,"351"
775,"333"
776,"356"
777,"302"
778,"325"
779,"347"
780,"363"
781,"377"
782,"382"
783,"331"
784,"378"
785,"407"
786,"420"
787,"467"
788,"507"
789,"532"
790,"535"
791,"644"
792,"661"
793,"725"
794,"791"
795,"821"
796,"921"
797,"918"
798,"914"
799,"942"
800,"845"
801,"809"
802,"750"
803,"686"
804,"603"
805,"545"
806,"484"
807,"445"
808,"477"
809,"464"
810,"441"
811,"462"
812,"439"
813,"464"
814,"402"
815,"391"
816,"435"
817,"389"
818,"375"
819,"366"
820,"370"
821,"365"
822,"359"
823,"367"
824,"380"
825,"365"
826,"371"
827,"359"
828,"387"
829,"404"
830,"402"
831,"391"
832,"385"
833,"387"
834,"366"
835,"422"
836,"420"
837,"410"
838,"397"
839,"382"
840,"445"
841,"375"
842,"406"
843,"391"
844,"424"
845,"410"
846,"401"
847,"379"
848,"365"
849,"432"
850,"432"
851,"422"
852,"398"
853,"386"
854,"370"
855,"380"
856,"435"
857,"404"
858,"425"
859,"383"
860,"419"
861,"404"
862,"379"
863,"381"
864,"429"
865,"403"
866,"425"
867,"413"
868,"439"
869,"422"
870,"391"
871,"454"
872,"398"
873,"440"
874,"463"
875,"428"
876,"417"
877,"456"
878,"435"
879,"426"
880,"500"
881,"445"
882,"433"
883,"434"
884,"458"
885,"486"
886,"504"
887,"475"
888,"499"
889,"483"
890,"473"
891,"500"
892,"497"
893,"504"
894,"464"
895,"472"
896,"457"
897,"518"
898,"544"
899,"482"
900,"534"
901,"463"
902,"496"
903,"522"
904,"556"
905,"483"
906,"475"
907,"513"
908,"500"
909,"487"
910,"525"
911,"542"
912,"544"
913,"504"
914,"553"
915,"567"
916,"556"
917,"536"
918,"544"
919,"552"
920,"595"
921,"630"
922,"599"
923,"618"
924,"623"
925,"643"
926,"664"
927,"698"
928,"656"
929,"664"
930,"736"
931,"764"
932,"790"
933,"791"
934,"771"
935,"814"
936,"862"
937,"913"
938,"957"
939,"957"
940,"1012"
941,"1132"
942,"1111"
943,"1171"
944,"1234"
945,"1295"
946,"1322"
947,"1356"
948,"1439"
949,"1503"
950,"1569"
951,"1515"
952,"1691"
953,"1749"
954,"1687"
955,"1735"
956,"1813"
957,"1811"
958,"1880"
959,"1897"
960,"1826"
961,"1923"
962,"1857"
963,"1803"
964,"1785"
965,"1747"
966,"1684"
967,"1698"
968,"1617"
969,"1504"
970,"1430"
971,"1472"
972,"1440"
973,"1294"
974,"1203"
975,"1181"
976,"1158"
977,"1140"
978,"1089"
979,"1019"
980,"1009"
981,"948"
982,"869"
983,"894"
984,"819"
985,"762"
986,"800"
987,"700"
988,"767"
989,"680"
990,"675"
991,"654"
992,"611"
993,"605"
994,"597"
995,"596"
996,"566"
997,"602"
998,"553"
999,"563"
1000,"574"
1001,"541"
1002,"574"
1003,"600"
1004,"647"
1005,"720"
1006,"732"
1007,"802"
1008,"882"
1009,"952"
1010,"1044"
1011,"1117"
1012,"1245"
1013,"1291"
1014,"1360"
1015,"1415"
1016,"1550"
1017,"1536"
1018,"1482"
1019,"1499"
1020,"1444"
1021,"1361"
1022,"1302"
1023,"1176"
1024,"1096"
1025,"978"
1026,"892"
1027,"789"
1028,"698"
1029,"596"
1030,"621"
1031,"580"
1032,"473"
1033,"492"
1034,"475"
1035,"458"
1036,"475"
1037,"500"
1038,"500"
1039,"522"
1040,"503"
1041,"488"
1042,"481"
1043,"515"
1044,"526"
1045,"557"
1046,"492"
1047,"523"
1048,"550"
1049,"534"
1050,"554"
1051,"642"
1052,"652"
1053,"695"
1054,"739"
1055,"716"
1056,"773"
1057,"808"
1058,"848"
1059,"916"
1060,"967"
1061,"983"
1062,"1054"
1063,"1036"
1064,"1103"
1065,"1174"
1066,"1139"
1067,"1137"
1068,"1169"
1069,"1118"
1070,"1132"
1071,"1138"
1072,"1054"
1073,"939"
1074,"949"
1075,"865"
1076,"841"
1077,"787"
1078,"713"
1079,"704"
1080,"707"
1081,"682"
1082,"671"
1083,"642"
1084,"614"
1085,"643"
1086,"646"
1087,"558"
1088,"600"
1089,"590"
1090,"576"
1091,"566"
1092,"600"
1093,"557"
1094,"510"
1095,"524"
1096,"571"
1097,"540"
1098,"555"
1099,"540"
1100,"513"
1101,"495"
1102,"522"
1103,"503"
1104,"465"
1105,"447"
1106,"482"
1107,"512"
1108,"480"
1109,"462"
1110,"476"
1111,"471"
1112,"436"
1113,"470"
1114,"437"
1115,"446"
1116,"423"
1117,"438"
1118,"442"
1119,"428"
1120,"434"
1121,"443"
1122,"409"
1123,"398"
1124,"396"
1125,"385"
1126,"411"
1127,"444"
1128,"421"
1129,"435"
1130,"423"
1131,"406"
1132,"420"
1133,"421"
1134,"415"
1135,"440"
1136,"410"
1137,"407"
1138,"443"
1139,"482"
1140,"524"
1141,"478"
1142,"535"
1143,"606"
1144,"602"
1145,"533"
1146,"550"
1147,"595"
