Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40D4R-83-IVSD-TR"
Duration Time,60.88
Ambient Temperature,"104.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"951238"
Raw Accumulated Counts,"993538"
Valid Count Last Packet,"14636"
Raw Count Last Packet,"15281"
Live Time,58.580013
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8385
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"2042"
1,"1586"
2,"930"
3,"496"
4,"178"
5,"49"
6,"6"
7,"2"
8,"0"
9,"0"
10,"1"
11,"1"
12,"2"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"1"
26,"0"
27,"0"
28,"0"
29,"1"
30,"4"
31,"8"
32,"65"
33,"154"
34,"224"
35,"247"
36,"278"
37,"273"
38,"251"
39,"270"
40,"284"
41,"266"
42,"291"
43,"256"
44,"259"
45,"258"
46,"267"
47,"249"
48,"238"
49,"229"
50,"249"
51,"254"
52,"243"
53,"237"
54,"227"
55,"267"
56,"245"
57,"234"
58,"224"
59,"210"
60,"222"
61,"248"
62,"215"
63,"234"
64,"236"
65,"223"
66,"235"
67,"238"
68,"215"
69,"229"
70,"223"
71,"215"
72,"214"
73,"233"
74,"210"
75,"198"
76,"202"
77,"194"
78,"212"
79,"172"
80,"209"
81,"169"
82,"169"
83,"176"
84,"196"
85,"199"
86,"229"
87,"209"
88,"249"
89,"213"
90,"231"
91,"169"
92,"197"
93,"179"
94,"194"
95,"185"
96,"182"
97,"169"
98,"172"
99,"159"
100,"160"
101,"144"
102,"154"
103,"167"
104,"176"
105,"159"
106,"157"
107,"158"
108,"152"
109,"162"
110,"151"
111,"163"
112,"142"
113,"165"
114,"172"
115,"164"
116,"183"
117,"160"
118,"160"
119,"157"
120,"155"
121,"143"
122,"118"
123,"123"
124,"145"
125,"124"
126,"132"
127,"120"
128,"115"
129,"131"
130,"123"
131,"108"
132,"117"
133,"107"
134,"120"
135,"106"
136,"105"
137,"95"
138,"130"
139,"125"
140,"135"
141,"151"
142,"146"
143,"141"
144,"161"
145,"169"
146,"173"
147,"161"
148,"162"
149,"172"
150,"163"
151,"148"
152,"135"
153,"119"
154,"134"
155,"89"
156,"97"
157,"106"
158,"107"
159,"110"
160,"114"
161,"151"
162,"178"
163,"224"
164,"332"
165,"438"
166,"516"
167,"558"
168,"547"
169,"454"
170,"396"
171,"245"
172,"151"
173,"110"
174,"95"
175,"90"
176,"98"
177,"102"
178,"121"
179,"120"
180,"144"
181,"171"
182,"161"
183,"139"
184,"164"
185,"158"
186,"136"
187,"147"
188,"115"
189,"96"
190,"81"
191,"71"
192,"72"
193,"53"
194,"41"
195,"57"
196,"55"
197,"51"
198,"46"
199,"60"
200,"54"
201,"70"
202,"79"
203,"63"
204,"72"
205,"67"
206,"64"
207,"54"
208,"47"
209,"38"
210,"44"
211,"52"
212,"45"
213,"43"
214,"55"
215,"54"
216,"40"
217,"54"
218,"52"
219,"78"
220,"58"
221,"102"
222,"146"
223,"176"
224,"266"
225,"372"
226,"426"
227,"460"
228,"463"
229,"419"
230,"349"
231,"284"
232,"223"
233,"184"
234,"147"
235,"137"
236,"126"
237,"106"
238,"89"
239,"84"
240,"66"
241,"63"
242,"74"
243,"84"
244,"79"
245,"127"
246,"151"
247,"117"
248,"148"
249,"133"
250,"141"
251,"128"
252,"115"
253,"100"
254,"85"
255,"64"
256,"54"
257,"67"
258,"61"
259,"59"
260,"53"
261,"49"
262,"62"
263,"58"
264,"55"
265,"66"
266,"63"
267,"84"
268,"74"
269,"68"
270,"90"
271,"91"
272,"89"
273,"87"
274,"85"
275,"94"
276,"72"
277,"79"
278,"79"
279,"57"
280,"60"
281,"59"
282,"56"
283,"73"
284,"54"
285,"70"
286,"67"
287,"52"
288,"73"
289,"63"
290,"70"
291,"76"
292,"87"
293,"79"
294,"100"
295,"109"
296,"119"
297,"142"
298,"129"
299,"114"
300,"119"
301,"129"
302,"108"
303,"103"
304,"105"
305,"121"
306,"120"
307,"111"
308,"140"
309,"138"
310,"159"
311,"215"
312,"256"
313,"456"
314,"730"
315,"1361"
316,"2521"
317,"4474"
318,"7287"
319,"10531"
320,"14352"
321,"17860"
322,"19939"
323,"20485"
324,"19094"
325,"15961"
326,"12430"
327,"8836"
328,"5674"
329,"3255"
330,"1741"
331,"891"
332,"456"
333,"225"
334,"158"
335,"106"
336,"96"
337,"89"
338,"93"
339,"87"
340,"91"
341,"92"
342,"106"
343,"124"
344,"108"
345,"163"
346,"178"
347,"262"
348,"404"
349,"651"
350,"954"
351,"1385"
352,"1931"
353,"2522"
354,"3158"
355,"3409"
356,"3454"
357,"3262"
358,"2778"
359,"2238"
360,"1595"
361,"1066"
362,"720"
363,"425"
364,"252"
365,"142"
366,"71"
367,"50"
368,"44"
369,"35"
370,"44"
371,"57"
372,"59"
373,"89"
374,"86"
375,"114"
376,"99"
377,"123"
378,"126"
379,"122"
380,"94"
381,"66"
382,"62"
383,"45"
384,"42"
385,"31"
386,"28"
387,"25"
388,"25"
389,"27"
390,"30"
391,"23"
392,"25"
393,"27"
394,"21"
395,"34"
396,"30"
397,"31"
398,"52"
399,"61"
400,"59"
401,"73"
402,"96"
403,"111"
404,"127"
405,"119"
406,"121"
407,"116"
408,"119"
409,"108"
410,"87"
411,"76"
412,"61"
413,"48"
414,"56"
415,"27"
416,"39"
417,"55"
418,"39"
419,"46"
420,"41"
421,"36"
422,"37"
423,"24"
424,"30"
425,"28"
426,"36"
427,"41"
428,"51"
429,"63"
430,"77"
431,"95"
432,"130"
433,"141"
434,"179"
435,"177"
436,"152"
437,"171"
438,"147"
439,"112"
440,"105"
441,"86"
442,"59"
443,"71"
444,"39"
445,"47"
446,"45"
447,"52"
448,"59"
449,"50"
450,"53"
451,"48"
452,"42"
453,"40"
454,"39"
455,"33"
456,"29"
457,"39"
458,"38"
459,"39"
460,"50"
461,"49"
462,"84"
463,"81"
464,"84"
465,"83"
466,"73"
467,"76"
468,"78"
469,"72"
470,"69"
471,"67"
472,"53"
473,"46"
474,"45"
475,"55"
476,"47"
477,"54"
478,"58"
479,"33"
480,"48"
481,"55"
482,"61"
483,"54"
