Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40BL-1-19-IVSD-TR"
Duration Time,60.205
Ambient Temperature,"103.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"661720"
Raw Accumulated Counts,"684422"
Valid Count Last Packet,"10185"
Raw Count Last Packet,"10516"
Live Time,58.627010
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8476
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"2037"
1,"1647"
2,"898"
3,"493"
4,"173"
5,"46"
6,"7"
7,"2"
8,"1"
9,"0"
10,"1"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"1"
26,"0"
27,"1"
28,"0"
29,"0"
30,"1"
31,"4"
32,"44"
33,"105"
34,"176"
35,"176"
36,"214"
37,"196"
38,"188"
39,"199"
40,"209"
41,"207"
42,"199"
43,"191"
44,"199"
45,"186"
46,"169"
47,"193"
48,"162"
49,"183"
50,"189"
51,"178"
52,"158"
53,"181"
54,"187"
55,"154"
56,"202"
57,"164"
58,"160"
59,"174"
60,"176"
61,"179"
62,"167"
63,"172"
64,"177"
65,"150"
66,"151"
67,"159"
68,"184"
69,"157"
70,"159"
71,"183"
72,"130"
73,"158"
74,"144"
75,"164"
76,"166"
77,"122"
78,"146"
79,"155"
80,"147"
81,"157"
82,"139"
83,"151"
84,"156"
85,"176"
86,"172"
87,"180"
88,"173"
89,"163"
90,"170"
91,"143"
92,"158"
93,"146"
94,"141"
95,"160"
96,"165"
97,"188"
98,"181"
99,"181"
100,"191"
101,"148"
102,"150"
103,"141"
104,"136"
105,"135"
106,"100"
107,"106"
108,"114"
109,"104"
110,"112"
111,"124"
112,"114"
113,"137"
114,"150"
115,"134"
116,"144"
117,"138"
118,"123"
119,"107"
120,"117"
121,"114"
122,"117"
123,"113"
124,"115"
125,"112"
126,"108"
127,"85"
128,"93"
129,"103"
130,"105"
131,"110"
132,"105"
133,"102"
134,"98"
135,"103"
136,"103"
137,"111"
138,"114"
139,"102"
140,"101"
141,"107"
142,"129"
143,"133"
144,"140"
145,"137"
146,"141"
147,"148"
148,"142"
149,"180"
150,"129"
151,"152"
152,"120"
153,"119"
154,"114"
155,"97"
156,"95"
157,"106"
158,"95"
159,"92"
160,"102"
161,"101"
162,"131"
163,"147"
164,"180"
165,"207"
166,"232"
167,"250"
168,"220"
169,"230"
170,"162"
171,"165"
172,"108"
173,"126"
174,"114"
175,"113"
176,"143"
177,"146"
178,"219"
179,"362"
180,"725"
181,"1322"
182,"2290"
183,"3645"
184,"5010"
185,"6250"
186,"6751"
187,"6461"
188,"5449"
189,"3900"
190,"2600"
191,"1461"
192,"794"
193,"379"
194,"215"
195,"180"
196,"198"
197,"281"
198,"411"
199,"613"
200,"837"
201,"1066"
202,"1172"
203,"1127"
204,"1038"
205,"809"
206,"558"
207,"336"
208,"197"
209,"112"
210,"63"
211,"53"
212,"47"
213,"42"
214,"27"
215,"45"
216,"34"
217,"22"
218,"36"
219,"32"
220,"35"
221,"43"
222,"58"
223,"93"
224,"110"
225,"126"
226,"134"
227,"157"
228,"189"
229,"168"
230,"128"
231,"113"
232,"93"
233,"76"
234,"59"
235,"58"
236,"52"
237,"52"
238,"48"
239,"34"
240,"38"
241,"33"
242,"31"
243,"26"
244,"35"
245,"40"
246,"58"
247,"60"
248,"64"
249,"55"
250,"59"
251,"51"
252,"61"
253,"44"
254,"27"
255,"25"
256,"23"
257,"28"
258,"28"
259,"33"
260,"21"
261,"43"
262,"31"
263,"33"
264,"28"
265,"33"
266,"44"
267,"40"
268,"43"
269,"51"
270,"66"
271,"39"
272,"53"
273,"61"
274,"55"
275,"74"
276,"54"
277,"42"
278,"44"
279,"41"
280,"30"
281,"32"
282,"36"
283,"37"
284,"27"
285,"27"
286,"42"
287,"26"
288,"34"
289,"31"
290,"30"
291,"37"
292,"40"
293,"48"
294,"52"
295,"67"
296,"78"
297,"82"
298,"80"
299,"69"
300,"72"
301,"51"
302,"62"
303,"56"
304,"41"
305,"45"
306,"45"
307,"53"
308,"40"
309,"54"
310,"58"
311,"57"
312,"91"
313,"108"
314,"199"
315,"391"
316,"671"
317,"1162"
318,"1864"
319,"2712"
320,"3801"
321,"4648"
322,"5156"
323,"5313"
324,"5039"
325,"4294"
326,"3175"
327,"2319"
328,"1558"
329,"939"
330,"481"
331,"256"
332,"143"
333,"57"
334,"55"
335,"40"
336,"28"
337,"44"
338,"37"
339,"31"
340,"35"
341,"31"
342,"38"
343,"52"
344,"42"
345,"45"
346,"79"
347,"78"
348,"114"
349,"163"
350,"274"
351,"378"
352,"525"
353,"652"
354,"781"
355,"873"
356,"894"
357,"887"
358,"777"
359,"598"
360,"438"
361,"326"
362,"192"
363,"112"
364,"71"
365,"44"
366,"26"
367,"26"
368,"25"
369,"31"
370,"24"
371,"36"
372,"31"
373,"39"
374,"45"
375,"52"
376,"67"
377,"45"
378,"43"
379,"59"
380,"41"
381,"46"
382,"24"
383,"31"
384,"23"
385,"24"
386,"31"
387,"29"
388,"16"
389,"14"
390,"30"
391,"20"
392,"26"
393,"24"
394,"24"
395,"22"
396,"21"
397,"21"
398,"24"
399,"24"
400,"43"
401,"58"
402,"69"
403,"77"
404,"78"
405,"106"
406,"96"
407,"94"
408,"87"
409,"63"
410,"56"
411,"51"
412,"37"
413,"33"
414,"34"
415,"19"
416,"18"
417,"37"
418,"27"
419,"29"
420,"24"
421,"24"
422,"21"
423,"31"
424,"29"
425,"30"
426,"24"
427,"35"
428,"54"
429,"51"
430,"79"
431,"99"
432,"125"
433,"168"
434,"167"
435,"185"
436,"163"
437,"174"
438,"144"
439,"135"
440,"104"
441,"85"
442,"61"
443,"37"
444,"51"
445,"32"
446,"41"
447,"30"
448,"48"
449,"29"
450,"43"
451,"39"
452,"29"
453,"39"
454,"36"
455,"25"
456,"24"
457,"30"
458,"34"
459,"27"
460,"37"
461,"33"
462,"35"
463,"30"
464,"55"
465,"50"
466,"35"
467,"43"
468,"49"
469,"54"
470,"45"
471,"40"
472,"40"
473,"25"
474,"30"
475,"43"
476,"50"
477,"36"
478,"48"
479,"47"
480,"41"
481,"76"
482,"62"
483,"57"
484,"56"
485,"58"
486,"62"
487,"40"
488,"46"
489,"47"
490,"56"
491,"39"
492,"43"
493,"41"
494,"36"
495,"51"
496,"38"
497,"45"
498,"43"
499,"47"
500,"50"
501,"42"
502,"55"
503,"48"
504,"41"
505,"42"
506,"51"
507,"41"
508,"49"
509,"57"
510,"52"
511,"41"
512,"43"
513,"47"
514,"47"
515,"38"
516,"49"
517,"62"
518,"62"
519,"66"
520,"57"
521,"55"
522,"55"
523,"56"
524,"68"
525,"66"
526,"75"
527,"90"
528,"73"
529,"89"
530,"87"
531,"102"
532,"80"
533,"81"
534,"74"
535,"91"
536,"77"
537,"80"
538,"77"
539,"84"
540,"74"
541,"56"
542,"78"
543,"67"
544,"85"
545,"73"
546,"56"
547,"97"
548,"65"
549,"79"
550,"89"
551,"93"
552,"65"
553,"85"
554,"88"
555,"80"
556,"74"
557,"79"
558,"86"
559,"90"
560,"106"
561,"102"
562,"93"
563,"102"
564,"98"
565,"115"
566,"114"
567,"139"
568,"111"
569,"101"
570,"100"
571,"99"
572,"103"
573,"106"
574,"113"
575,"125"
576,"123"
577,"114"
578,"104"
579,"110"
580,"107"
581,"111"
582,"114"
583,"100"
584,"109"
585,"118"
586,"106"
587,"128"
588,"133"
589,"116"
590,"119"
591,"114"
592,"113"
593,"145"
594,"140"
595,"135"
596,"157"
597,"134"
598,"150"
599,"126"
600,"131"
601,"124"
602,"147"
603,"157"
604,"152"
605,"154"
606,"131"
607,"150"
608,"168"
609,"154"
610,"155"
611,"156"
612,"160"
613,"122"
614,"154"
615,"157"
616,"190"
617,"136"
618,"160"
619,"156"
620,"165"
621,"160"
622,"165"
623,"171"
624,"156"
625,"174"
626,"181"
627,"167"
628,"175"
629,"172"
630,"214"
631,"197"
632,"169"
633,"192"
634,"178"
635,"191"
636,"201"
637,"186"
638,"223"
639,"166"
640,"208"
641,"191"
642,"215"
643,"186"
644,"209"
645,"178"
646,"192"
647,"217"
648,"196"
649,"210"
650,"208"
651,"241"
652,"209"
653,"204"
654,"231"
655,"243"
656,"213"
657,"229"
658,"233"
659,"230"
660,"222"
661,"228"
662,"229"
663,"245"
664,"232"
665,"254"
666,"252"
667,"279"
668,"304"
669,"337"
670,"351"
671,"367"
672,"376"
673,"366"
674,"436"
675,"432"
676,"381"
677,"431"
678,"379"
679,"389"
680,"371"
681,"319"
682,"265"
683,"302"
684,"272"
685,"272"
686,"295"
687,"272"
688,"291"
689,"275"
690,"273"
691,"257"
692,"282"
693,"286"
694,"269"
695,"298"
696,"269"
697,"321"
698,"277"
699,"306"
700,"320"
701,"382"
702,"417"
703,"487"
704,"610"
705,"785"
706,"924"
707,"1154"
708,"1466"
709,"1761"
710,"2027"
711,"2351"
712,"2483"
713,"2572"
714,"2530"
715,"2425"
716,"2220"
717,"1914"
718,"1643"
719,"1346"
720,"1105"
721,"864"
722,"706"
723,"573"
724,"469"
725,"429"
726,"388"
727,"319"
728,"347"
729,"288"
730,"303"
731,"295"
732,"315"
733,"289"
734,"318"
735,"303"
736,"306"
737,"311"
738,"301"
739,"345"
740,"312"
741,"324"
742,"331"
743,"332"
744,"359"
745,"344"
746,"394"
747,"387"
748,"387"
749,"414"
750,"383"
751,"415"
752,"429"
753,"477"
754,"470"
755,"451"
756,"444"
757,"434"
758,"438"
759,"419"
760,"417"
761,"354"
762,"362"
763,"343"
764,"391"
765,"338"
766,"321"
767,"366"
768,"339"
769,"381"
770,"386"
771,"343"
772,"345"
773,"392"
774,"343"
775,"360"
776,"350"
777,"323"
778,"371"
779,"363"
780,"359"
781,"329"
782,"341"
783,"418"
784,"383"
785,"404"
786,"448"
787,"490"
788,"481"
789,"562"
790,"579"
791,"648"
792,"720"
793,"777"
794,"857"
795,"890"
796,"929"
797,"914"
798,"912"
799,"866"
800,"842"
801,"820"
802,"734"
803,"686"
804,"598"
805,"555"
806,"573"
807,"460"
808,"452"
809,"457"
810,"440"
811,"432"
812,"446"
813,"449"
814,"464"
815,"439"
816,"381"
817,"464"
818,"397"
819,"383"
820,"453"
821,"404"
822,"386"
823,"399"
824,"394"
825,"404"
826,"395"
827,"401"
828,"415"
829,"446"
830,"443"
831,"408"
832,"450"
833,"414"
834,"439"
835,"418"
836,"443"
837,"460"
838,"442"
839,"419"
840,"434"
841,"428"
842,"414"
843,"437"
844,"443"
845,"462"
846,"429"
847,"501"
848,"446"
849,"420"
850,"431"
851,"408"
852,"423"
853,"438"
854,"427"
855,"456"
856,"414"
857,"401"
858,"460"
859,"462"
860,"429"
861,"452"
862,"477"
863,"440"
864,"444"
865,"457"
866,"422"
867,"431"
868,"405"
869,"456"
870,"420"
871,"439"
872,"462"
873,"461"
874,"449"
875,"470"
876,"473"
877,"500"
878,"483"
879,"518"
880,"475"
881,"445"
882,"504"
883,"515"
884,"489"
885,"491"
886,"489"
887,"569"
888,"492"
889,"541"
