Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40RTC-W-265-IVSD-TR"
Duration Time,60.072
Ambient Temperature,"103.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"762362"
Raw Accumulated Counts,"791616"
Valid Count Last Packet,"11752"
Raw Count Last Packet,"12249"
Live Time,58.191998
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8364
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"1916"
1,"1572"
2,"1001"
3,"503"
4,"189"
5,"53"
6,"8"
7,"1"
8,"0"
9,"0"
10,"0"
11,"0"
12,"2"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"10"
32,"49"
33,"156"
34,"185"
35,"232"
36,"225"
37,"235"
38,"263"
39,"246"
40,"201"
41,"219"
42,"219"
43,"220"
44,"226"
45,"241"
46,"238"
47,"228"
48,"198"
49,"213"
50,"227"
51,"231"
52,"219"
53,"251"
54,"210"
55,"207"
56,"224"
57,"232"
58,"228"
59,"217"
60,"229"
61,"199"
62,"191"
63,"211"
64,"203"
65,"207"
66,"185"
67,"205"
68,"204"
69,"179"
70,"179"
71,"187"
72,"187"
73,"202"
74,"203"
75,"169"
76,"185"
77,"184"
78,"184"
79,"174"
80,"182"
81,"167"
82,"182"
83,"160"
84,"195"
85,"207"
86,"224"
87,"280"
88,"267"
89,"248"
90,"225"
91,"184"
92,"192"
93,"193"
94,"167"
95,"143"
96,"168"
97,"136"
98,"152"
99,"164"
100,"148"
101,"149"
102,"131"
103,"148"
104,"150"
105,"129"
106,"121"
107,"140"
108,"137"
109,"135"
110,"137"
111,"135"
112,"125"
113,"120"
114,"147"
115,"146"
116,"137"
117,"166"
118,"134"
119,"137"
120,"144"
121,"114"
122,"106"
123,"106"
124,"119"
125,"117"
126,"125"
127,"104"
128,"115"
129,"117"
130,"112"
131,"128"
132,"115"
133,"94"
134,"114"
135,"101"
136,"107"
137,"95"
138,"103"
139,"113"
140,"111"
141,"111"
142,"126"
143,"145"
144,"139"
145,"131"
146,"122"
147,"125"
148,"134"
149,"132"
150,"167"
151,"147"
152,"117"
153,"133"
154,"94"
155,"85"
156,"87"
157,"96"
158,"90"
159,"83"
160,"92"
161,"130"
162,"119"
163,"152"
164,"175"
165,"210"
166,"270"
167,"301"
168,"232"
169,"225"
170,"201"
171,"125"
172,"114"
173,"80"
174,"76"
175,"76"
176,"63"
177,"89"
178,"99"
179,"101"
180,"124"
181,"154"
182,"221"
183,"266"
184,"379"
185,"439"
186,"443"
187,"431"
188,"355"
189,"315"
190,"212"
191,"137"
192,"97"
193,"63"
194,"67"
195,"52"
196,"39"
197,"75"
198,"72"
199,"72"
200,"102"
201,"91"
202,"108"
203,"109"
204,"81"
205,"95"
206,"69"
207,"57"
208,"46"
209,"53"
210,"39"
211,"46"
212,"39"
213,"37"
214,"42"
215,"41"
216,"47"
217,"32"
218,"45"
219,"63"
220,"54"
221,"71"
222,"90"
223,"131"
224,"157"
225,"211"
226,"252"
227,"270"
228,"227"
229,"206"
230,"149"
231,"136"
232,"98"
233,"91"
234,"75"
235,"67"
236,"63"
237,"53"
238,"48"
239,"54"
240,"49"
241,"66"
242,"75"
243,"76"
244,"115"
245,"112"
246,"134"
247,"161"
248,"153"
249,"182"
250,"151"
251,"138"
252,"121"
253,"126"
254,"71"
255,"60"
256,"39"
257,"46"
258,"30"
259,"38"
260,"36"
261,"40"
262,"34"
263,"39"
264,"39"
265,"37"
266,"54"
267,"54"
268,"59"
269,"62"
270,"86"
271,"111"
272,"98"
273,"115"
274,"120"
275,"92"
276,"72"
277,"71"
278,"56"
279,"36"
280,"40"
281,"46"
282,"46"
283,"38"
284,"38"
285,"50"
286,"44"
287,"43"
288,"39"
289,"46"
290,"58"
291,"48"
292,"52"
293,"43"
294,"58"
295,"65"
296,"55"
297,"71"
298,"61"
299,"59"
300,"72"
