Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40RTC-W-260-IVSD-TR"
Duration Time,60.199
Ambient Temperature,"102.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"673758"
Raw Accumulated Counts,"697043"
Valid Count Last Packet,"10631"
Raw Count Last Packet,"10954"
Live Time,58.562008
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8502
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"1995"
1,"1569"
2,"965"
3,"466"
4,"183"
5,"53"
6,"6"
7,"3"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"5"
32,"38"
33,"114"
34,"166"
35,"154"
36,"219"
37,"193"
38,"212"
39,"200"
40,"195"
41,"204"
42,"200"
43,"187"
44,"188"
45,"223"
46,"199"
47,"206"
48,"198"
49,"191"
50,"206"
51,"197"
52,"192"
53,"192"
54,"194"
55,"201"
56,"200"
57,"189"
58,"185"
59,"188"
60,"195"
61,"206"
62,"169"
63,"190"
64,"192"
65,"170"
66,"155"
67,"160"
68,"192"
69,"165"
70,"167"
71,"141"
72,"183"
73,"165"
74,"145"
75,"174"
76,"163"
77,"172"
78,"144"
79,"154"
80,"153"
81,"145"
82,"147"
83,"167"
84,"129"
85,"131"
86,"134"
87,"154"
88,"163"
89,"156"
90,"143"
91,"152"
92,"129"
93,"136"
94,"189"
95,"185"
96,"191"
97,"241"
98,"202"
99,"214"
100,"193"
101,"183"
102,"142"
103,"129"
104,"134"
105,"125"
106,"140"
107,"121"
108,"137"
109,"113"
110,"129"
111,"115"
112,"147"
113,"132"
114,"136"
115,"154"
116,"135"
117,"127"
118,"115"
119,"125"
120,"121"
121,"103"
122,"104"
123,"127"
124,"105"
125,"123"
126,"106"
127,"95"
128,"84"
129,"109"
130,"119"
131,"104"
132,"96"
133,"120"
134,"116"
135,"101"
136,"109"
137,"103"
138,"118"
139,"108"
140,"125"
141,"120"
142,"130"
143,"132"
144,"122"
145,"135"
146,"152"
147,"154"
148,"147"
149,"175"
150,"152"
151,"144"
152,"135"
153,"127"
154,"141"
155,"109"
156,"89"
157,"92"
158,"99"
159,"86"
160,"93"
161,"109"
162,"117"
163,"122"
164,"137"
165,"164"
166,"170"
167,"192"
168,"161"
169,"146"
170,"132"
171,"118"
172,"119"
173,"119"
174,"91"
175,"123"
176,"149"
177,"208"
178,"229"
179,"430"
180,"781"
181,"1532"
182,"2731"
183,"4065"
184,"5891"
185,"7121"
186,"7810"
187,"7566"
188,"6239"
189,"4505"
190,"2834"
191,"1533"
192,"877"
193,"416"
194,"253"
195,"179"
196,"217"
197,"306"
198,"500"
199,"703"
200,"926"
201,"1168"
202,"1284"
203,"1247"
204,"1049"
205,"886"
206,"622"
207,"385"
208,"217"
209,"133"
210,"70"
211,"35"
212,"53"
213,"32"
214,"38"
215,"25"
216,"30"
217,"28"
218,"37"
219,"47"
220,"50"
221,"57"
222,"84"
223,"86"
224,"115"
225,"140"
226,"155"
227,"169"
228,"129"
229,"137"
230,"104"
231,"80"
232,"61"
233,"52"
234,"44"
235,"41"
236,"39"
237,"45"
238,"48"
239,"46"
240,"57"
241,"74"
242,"104"
243,"89"
244,"96"
245,"116"
246,"116"
247,"102"
248,"84"
249,"79"
250,"67"
251,"68"
252,"51"
253,"53"
254,"32"
255,"41"
256,"48"
257,"37"
258,"35"
259,"46"
260,"49"
261,"44"
262,"35"
263,"35"
264,"27"
265,"26"
266,"31"
267,"45"
268,"24"
269,"23"
270,"32"
271,"36"
272,"38"
273,"30"
274,"35"
275,"38"
276,"41"
277,"36"
278,"34"
279,"37"
280,"37"
281,"45"
282,"35"
283,"33"
284,"24"
285,"27"
286,"27"
287,"29"
288,"32"
289,"37"
290,"42"
291,"64"
292,"78"
293,"82"
294,"121"
295,"160"
296,"167"
297,"154"
298,"194"
299,"161"
300,"153"
301,"110"
302,"103"
303,"67"
304,"37"
305,"36"
306,"28"
307,"39"
308,"27"
309,"28"
310,"31"
311,"33"
312,"44"
313,"75"
314,"67"
315,"188"
316,"263"
317,"448"
318,"704"
319,"1077"
320,"1500"
321,"1826"
322,"2103"
323,"2075"
324,"1992"
325,"1621"
326,"1296"
327,"927"
328,"620"
329,"398"
330,"207"
331,"138"
332,"57"
333,"54"
334,"33"
335,"19"
336,"26"
337,"28"
338,"29"
339,"27"
340,"25"
341,"35"
342,"24"
343,"21"
344,"29"
345,"29"
346,"43"
347,"40"
348,"68"
349,"83"
350,"100"
351,"155"
352,"193"
353,"302"
354,"321"
355,"354"
356,"359"
357,"362"
358,"305"
359,"230"
360,"176"
361,"131"
362,"95"
363,"68"
364,"43"
365,"31"
366,"12"
367,"17"
368,"27"
369,"22"
370,"27"
371,"23"
372,"23"
373,"29"
374,"30"
375,"33"
376,"35"
377,"37"
378,"39"
379,"35"
380,"30"
381,"34"
382,"30"
383,"26"
384,"18"
385,"19"
386,"24"
387,"23"
388,"21"
389,"17"
390,"16"
391,"18"
392,"21"
393,"22"
394,"24"
395,"20"
396,"19"
397,"27"
398,"23"
399,"26"
400,"38"
401,"57"
402,"65"
403,"60"
404,"72"
405,"88"
406,"96"
407,"62"
408,"68"
409,"64"
410,"55"
411,"44"
412,"28"
413,"27"
414,"28"
415,"22"
416,"29"
417,"18"
418,"28"
419,"25"
420,"18"
421,"26"
422,"26"
423,"23"
424,"28"
425,"22"
426,"27"
427,"25"
428,"26"
429,"30"
430,"51"
431,"52"
432,"72"
433,"86"
434,"86"
435,"102"
436,"96"
437,"85"
438,"61"
439,"56"
440,"56"
441,"34"
442,"39"
443,"27"
444,"29"
445,"47"
446,"30"
447,"29"
448,"35"
449,"44"
450,"28"
451,"35"
452,"38"
453,"43"
454,"27"
455,"31"
456,"23"
457,"23"
458,"31"
459,"23"
460,"38"
461,"33"
462,"37"
463,"39"
464,"34"
465,"30"
466,"35"
467,"30"
468,"36"
469,"40"
470,"36"
471,"31"
472,"36"
473,"32"
474,"35"
475,"40"
476,"35"
477,"44"
478,"30"
479,"31"
480,"39"
481,"33"
482,"44"
483,"52"
484,"30"
485,"44"
486,"33"
487,"38"
488,"53"
489,"45"
490,"31"
491,"40"
492,"35"
493,"46"
494,"36"
495,"34"
496,"47"
497,"46"
498,"38"
499,"46"
500,"48"
501,"49"
502,"48"
503,"45"
504,"57"
505,"48"
506,"51"
507,"46"
508,"50"
509,"54"
510,"45"
511,"64"
512,"61"
513,"66"
514,"37"
515,"56"
516,"55"
517,"58"
518,"57"
519,"50"
520,"65"
521,"63"
522,"54"
523,"66"
524,"69"
525,"70"
526,"64"
527,"63"
528,"91"
529,"75"
530,"81"
531,"67"
532,"91"
533,"92"
534,"75"
535,"86"
536,"74"
537,"79"
538,"67"
539,"69"
540,"75"
541,"79"
542,"64"
543,"51"
544,"87"
545,"88"
546,"94"
547,"80"
548,"85"
549,"80"
550,"64"
551,"88"
552,"91"
553,"89"
554,"86"
555,"85"
556,"83"
557,"107"
558,"90"
559,"85"
560,"86"
561,"115"
562,"87"
563,"106"
564,"94"
565,"109"
566,"108"
567,"95"
568,"118"
569,"92"
570,"117"
571,"101"
572,"104"
573,"121"
574,"95"
575,"105"
576,"96"
577,"93"
578,"107"
579,"133"
580,"128"
581,"124"
582,"127"
583,"109"
584,"113"
585,"122"
586,"131"
587,"128"
588,"140"
589,"128"
590,"135"
591,"165"
592,"147"
593,"134"
594,"150"
595,"148"
596,"169"
597,"153"
598,"159"
599,"143"
600,"125"
601,"172"
602,"153"
603,"151"
604,"132"
605,"158"
606,"154"
607,"161"
608,"169"
609,"167"
610,"171"
611,"153"
612,"194"
613,"160"
614,"185"
615,"187"
616,"184"
617,"154"
618,"160"
619,"165"
620,"169"
621,"199"
622,"179"
623,"195"
624,"181"
625,"194"
626,"170"
627,"182"
628,"184"
629,"189"
630,"182"
631,"181"
632,"196"
633,"200"
634,"233"
635,"173"
636,"206"
637,"201"
638,"210"
639,"216"
640,"224"
641,"187"
642,"211"
643,"207"
644,"215"
645,"197"
646,"239"
647,"231"
648,"220"
649,"216"
650,"229"
651,"239"
652,"226"
653,"230"
654,"209"
655,"267"
656,"206"
657,"247"
658,"240"
659,"254"
660,"257"
661,"219"
662,"245"
663,"245"
664,"263"
665,"243"
666,"277"
667,"279"
668,"270"
669,"299"
670,"301"
671,"297"
672,"320"
673,"357"
674,"348"
675,"345"
676,"360"
677,"368"
678,"349"
679,"361"
680,"330"
681,"302"
682,"284"
683,"343"
684,"309"
685,"303"
686,"284"
687,"296"
688,"290"
689,"287"
690,"317"
691,"321"
692,"311"
693,"294"
694,"274"
695,"330"
696,"299"
697,"330"
698,"323"
699,"348"
700,"354"
701,"419"
702,"455"
703,"497"
704,"699"
705,"791"
706,"1019"
707,"1320"
708,"1661"
709,"1900"
710,"2196"
711,"2515"
712,"2729"
713,"2780"
714,"2811"
715,"2710"
716,"2490"
717,"2120"
718,"1793"
719,"1486"
720,"1213"
721,"953"
722,"753"
723,"614"
724,"518"
725,"438"
726,"391"
727,"339"
728,"391"
729,"358"
730,"350"
731,"345"
732,"340"
733,"355"
734,"371"
735,"350"
736,"357"
737,"323"
738,"345"
739,"335"
740,"360"
741,"381"
742,"347"
743,"367"
744,"362"
745,"389"
746,"393"
747,"390"
748,"357"
749,"404"
750,"415"
751,"398"
752,"393"
753,"400"
754,"435"
755,"439"
