Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS40LEP-81-IVSD-TR"
Duration Time,60.247
Ambient Temperature,"103.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"623001"
Raw Accumulated Counts,"643443"
Valid Count Last Packet,"9659"
Raw Count Last Packet,"9987"
Live Time,58.773979
HV DAC,167
HV ADC,40.000000
Filament DAC,215
Filament ADC,12.200000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.8471
Number of Channels,2048
Vacuum,631
Channel#,Intensity
0,"2010"
1,"1525"
2,"1007"
3,"485"
4,"172"
5,"46"
6,"5"
7,"3"
8,"1"
9,"0"
10,"0"
11,"1"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"8"
32,"34"
33,"112"
34,"142"
35,"179"
36,"179"
37,"185"
38,"185"
39,"175"
40,"167"
41,"164"
42,"168"
43,"161"
44,"169"
45,"175"
46,"173"
47,"159"
48,"164"
49,"172"
50,"154"
51,"166"
52,"151"
53,"177"
54,"155"
55,"186"
56,"156"
57,"167"
58,"156"
59,"156"
60,"157"
61,"158"
62,"153"
63,"153"
64,"166"
65,"144"
66,"148"
67,"145"
68,"134"
69,"134"
70,"145"
71,"148"
72,"140"
73,"178"
74,"144"
75,"145"
76,"127"
77,"138"
78,"137"
79,"143"
80,"136"
81,"146"
82,"122"
83,"143"
84,"137"
85,"149"
86,"133"
87,"144"
88,"155"
89,"135"
90,"137"
91,"123"
92,"124"
93,"142"
94,"132"
95,"159"
96,"192"
97,"208"
98,"242"
99,"206"
100,"175"
101,"160"
102,"117"
103,"125"
104,"140"
105,"128"
106,"118"
107,"116"
108,"120"
109,"125"
110,"145"
111,"119"
112,"121"
113,"142"
114,"153"
115,"143"
116,"151"
117,"135"
118,"103"
119,"142"
120,"114"
121,"102"
122,"111"
123,"88"
124,"113"
125,"109"
126,"92"
127,"108"
128,"99"
129,"107"
130,"114"
131,"106"
132,"104"
133,"105"
134,"116"
135,"111"
136,"101"
137,"90"
138,"86"
139,"91"
140,"121"
141,"105"
142,"120"
143,"134"
144,"125"
145,"137"
146,"133"
147,"141"
148,"129"
149,"164"
150,"173"
151,"146"
152,"142"
153,"137"
154,"125"
155,"99"
156,"118"
157,"91"
158,"99"
159,"110"
160,"108"
161,"114"
162,"136"
163,"173"
164,"216"
165,"217"
166,"282"
167,"293"
168,"299"
169,"247"
170,"186"
171,"193"
172,"148"
173,"109"
174,"127"
175,"157"
176,"158"
177,"199"
178,"274"
179,"500"
180,"925"
181,"1844"
182,"3226"
183,"5070"
184,"7102"
185,"8904"
186,"9459"
187,"9143"
188,"7696"
189,"5528"
190,"3617"
191,"2115"
192,"1054"
193,"516"
194,"313"
195,"225"
196,"230"
197,"378"
198,"572"
199,"869"
200,"1216"
201,"1488"
202,"1672"
203,"1517"
204,"1411"
205,"1068"
206,"701"
207,"443"
208,"235"
209,"128"
210,"74"
211,"48"
212,"37"
213,"23"
214,"34"
215,"35"
216,"22"
217,"30"
