Energy,CPS,Spectrum
0,32.6215772321373,blackdiamond
0.0200609,26.9778990881738,blackdiamond
0.0401218,17.3482568425332,blackdiamond
0.0601827,8.04643220525483,blackdiamond
0.0802436,2.96525927564021,blackdiamond
0.1003045,0.92012442347127,blackdiamond
0.1203654,0.223512005701523,blackdiamond
0.1404263,0.0372520009502538,blackdiamond
0.1604872,0.0186260004751269,blackdiamond
0.1805481,0,blackdiamond
0.200609,0.0223512005701523,blackdiamond
0.2206699,0.0186260004751269,blackdiamond
0.2407308,0.00745040019005077,blackdiamond
0.2607917,0.00745040019005077,blackdiamond
0.2808526,0.00372520009502538,blackdiamond
0.3009135,0.0111756002850762,blackdiamond
0.3209744,0,blackdiamond
0.3410353,0.0111756002850762,blackdiamond
0.3610962,0.00745040019005077,blackdiamond
0.3811571,0,blackdiamond
0.401218,0.00745040019005077,blackdiamond
0.4212789,0,blackdiamond
0.4413398,0,blackdiamond
0.4614007,0,blackdiamond
0.4814616,0,blackdiamond
0.5015225,0.00745040019005077,blackdiamond
0.5215834,0.00372520009502538,blackdiamond
0.5416443,0.0596032015204061,blackdiamond
0.5617052,0.4842760123533,blackdiamond
0.5817661,2.39902886119635,blackdiamond
0.601827,5.39781493769178,blackdiamond
0.6218879,7.72233979698762,blackdiamond
0.6419488,8.82499902511513,blackdiamond
0.6620097,8.75794542340468,blackdiamond
0.6820706,8.4822806163728,blackdiamond
0.7021315,8.25131821048123,blackdiamond
0.7221924,8.07623380601503,blackdiamond
0.7422533,8.2475930103862,blackdiamond
0.7623142,7.88252340107371,blackdiamond
0.7823751,7.90859980173889,blackdiamond
0.802436,8.24014261019615,blackdiamond
0.8224969,7.97937860354437,blackdiamond
0.8425578,7.51745379176123,blackdiamond
0.8626187,7.86762260069361,blackdiamond
0.8826796,7.72233979698762,blackdiamond
0.9027405,7.71488939679757,blackdiamond
0.9228014,7.80056899898315,blackdiamond
0.9428623,7.67018699565727,blackdiamond
0.9629232,7.83409579983838,blackdiamond
0.9829841,7.483926990906,blackdiamond
1.003045,7.43549938967067,blackdiamond
1.0231059,7.69253819622742,blackdiamond
1.0431668,7.39452218862539,blackdiamond
1.0632277,7.53980499233138,blackdiamond
1.0832886,7.58078219337666,blackdiamond
1.1033495,7.45040019005077,blackdiamond
1.1234104,7.42432378938559,blackdiamond
1.1434713,7.06670458026315,blackdiamond
1.1635322,7.05552897997808,blackdiamond
1.1835931,7.15238418244874,blackdiamond
1.203654,6.91397137636711,blackdiamond
1.2237149,6.90652097617706,blackdiamond
1.2437758,6.84319257456163,blackdiamond
1.2638367,6.95122337731737,blackdiamond
1.2838976,6.83201697427655,blackdiamond
1.3039585,6.81711617389645,blackdiamond
1.3240194,6.65693256981036,blackdiamond
1.3440803,6.39989376325361,blackdiamond
1.3641412,6.19873295812224,blackdiamond
1.3842021,6.48184816534417,blackdiamond
1.404263,6.48184816534417,blackdiamond
1.4243239,6.48929856553422,blackdiamond
1.4443848,5.99384695289584,blackdiamond
1.4644457,6.22480935878742,blackdiamond
1.4845066,6.13167935641178,blackdiamond
1.5045675,5.7964113478595,blackdiamond
1.5246284,5.76660974709929,blackdiamond
1.5446893,5.76660974709929,blackdiamond
1.5647502,5.59897574282315,blackdiamond
1.5848111,5.89699175042518,blackdiamond
1.604872,5.77406014728935,blackdiamond
1.6249329,5.44996773902214,blackdiamond
1.6449938,5.26370773427087,blackdiamond
1.6650547,5.32331093579127,blackdiamond
1.6851156,5.09607372999473,blackdiamond
1.7051765,5.30095973522112,blackdiamond
1.7252374,5.24135653370072,blackdiamond
1.7452983,5.11097453037483,blackdiamond
1.7653592,5.03274532837929,blackdiamond
1.7854201,5.15195173142011,blackdiamond
1.805481,4.80178292248772,blackdiamond
1.8255419,4.98804292723899,blackdiamond
1.8456028,4.92471452562356,blackdiamond
1.8656637,5.26370773427087,blackdiamond
1.8857246,4.90236332505341,blackdiamond
1.9057855,4.92471452562356,blackdiamond
1.9258464,4.98059252704894,blackdiamond
1.9459073,5.01039412780914,blackdiamond
1.9659682,4.89491292486335,blackdiamond
1.9860291,4.8129585227728,blackdiamond
2.00609,4.67140091916183,blackdiamond
2.0261509,4.8874625246733,blackdiamond
2.0462118,4.72727892058721,blackdiamond
2.0662727,4.6527749186867,blackdiamond
2.0863336,4.58944651707127,blackdiamond
2.1063945,4.27280450899412,blackdiamond
2.1264554,4.52239291536082,blackdiamond
2.1465163,4.3733849115598,blackdiamond
2.1665772,4.43671331317523,blackdiamond
2.1866381,4.21692650756873,blackdiamond
2.206699,4.20575090728366,blackdiamond
2.2267599,4.42553771289016,blackdiamond
2.2468208,4.19830050709361,blackdiamond
2.2668817,3.75127649569056,blackdiamond
2.2869426,4.17967450661848,blackdiamond
2.3070035,3.98223890158214,blackdiamond
2.3270644,3.97851370148711,blackdiamond
2.3471253,4.21320130747371,blackdiamond
2.3671862,3.78107809645077,blackdiamond
2.3872471,3.78480329654579,blackdiamond
2.407308,3.66559689350498,blackdiamond
2.4273689,3.74010089540549,blackdiamond
2.4474298,3.76245209597564,blackdiamond
2.4674907,3.52403928989401,blackdiamond
2.4875516,3.44953528799351,blackdiamond
2.5076125,3.52031408979899,blackdiamond
2.5276734,3.44208488780346,blackdiamond
2.5477343,3.34522968533279,blackdiamond
2.5677952,3.39365728656812,blackdiamond
2.5878561,3.47188648856366,blackdiamond
2.607917,3.37875648618802,blackdiamond
2.6279779,3.43835968770843,blackdiamond
2.6480388,3.30797768438254,blackdiamond
2.6680997,3.29307688400244,blackdiamond
