ElementName,Symbol,La1 ,La2 ,Lb1 ,Lb2 ,Lb3 ,Lb4 ,Lg1 ,Lg2 ,Lg3 ,Ll
Gadolinium,Gd,6.06,6.03,6.71,7.10,6.83,6.69,7.79,8.07,6.05,5.36
Terbium,Tb,6.27,6.24,6.98,7.37,7.10,6.94,8.10,8.39,6.28,5.55
Dysprosium,Dy,6.50,6.46,7.25,7.64,7.37,7.20,8.42,8.72,6.53,5.74
Holmium,Ho,6.72,6.68,7.53,7.91,7.65,7.47,8.75,9.05,6.79,5.94
Erbium,Er,6.95,6.91,7.81,8.19,7.94,7.74,9.09,9.39,7.06,6.14
Thulium,Tm,7.18,7.13,8.10,8.47,8.23,8.02,9.43,9.74,7.31,6.34
Ytterbium,Yb,7.42,7.37,8.40,8.76,8.53,8.31,9.78,10.09,7.58,6.54
Lutetium,Lu,7.66,7.60,8.71,9.05,8.84,8.60,10.14,10.46,7.86,6.75
Hafnium,Hf,7.90,7.84,9.02,9.35,9.16,8.90,10.52,10.83,8.14,6.96
Tantalum,Ta,8.15,8.09,9.34,9.65,9.48,9.21,10.90,11.22,8.43,7.17
Tungsten,W ,8.40,8.34,9.67,9.96,9.82,9.52,11.29,11.61,8.72,7.38
Rhenium,Re,8.65,8.59,10.01,10.28,10.16,9.85,11.69,12.01,9.02,7.60
Osmium,Os,8.91,8.84,10.36,10.60,10.51,10.17,12.10,12.42,9.33,7.82
Iridium,Ir,9.18,9.10,10.71,10.92,10.87,10.51,12.51,12.84,9.65,8.04
Platinium,Pt,9.44,9.36,11.07,11.25,11.23,10.85,12.94,13.27,9.97,8.27
Gold,Au,9.71,9.63,11.44,11.58,11.61,11.20,13.38,13.71,10.31,8.49
Mercury,Hg,9.99,9.90,11.82,11.92,11.99,11.56,13.83,14.16,10.65,8.72
Thallium,Tl,10.27,10.17,12.21,12.27,12.39,11.93,14.29,14.62,10.99,8.95
Lead,Pb,10.55,10.45,12.61,12.62,12.79,12.31,14.76,15.09,11.35,9.19
Bismuth,Bi,10.84,10.73,13.02,12.98,13.21,12.69,15.25,15.58,11.71,9.42
Polonium,Po,11.13,11.02,13.45,13.34,13.63,13.08,15.74,16.07,12.09,9.66
Astatine,At,11.43,11.30,13.88,0.00,14.07,13.48,16.25,16.58,12.47,9.90
Radon,Rn,11.73,11.60,14.32,0.00,14.51,13.90,16.77,17.10,12.86,10.14
Francium,Fr,12.03,11.90,14.77,14.45,14.97,14.32,17.30,17.63,13.26,10.38
Radium,Ra,12.34,12.20,15.24,14.84,15.44,14.75,17.85,18.17,13.66,10.62
Actinium,Ac,12.65,12.50,15.71,0.00,15.93,15.19,18.41,18.73,14.08,10.87
Thorium,Th,12.97,12.81,16.20,15.62,16.42,15.64,18.98,19.30,14.51,11.12
Protoactinium,Pa,13.29,13.12,16.70,16.02,16.93,16.10,19.57,19.88,14.94,11.37
Uranium,U ,13.61,13.44,17.22,16.43,17.45,16.57,20.17,20.48,15.39,11.62
Neptunium,Np,13.94,13.76,17.75,16.84,17.99,17.06,20.78,21.10,15.87,11.87
Plutonium,Pu,14.28,14.08,18.29,17.26,18.54,17.55,21.42,21.72,16.33,12.13
Americium,Am,14.62,14.41,18.85,17.68,19.10,18.06,22.07,22.37,16.79,12.38
Californium,Cm,14.95,14.75,19.41,18.10,19.68,18.58,22.72,23.03,17.25,12.64
