Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15W8-IVSD-MAJ"
Duration Time,180.244
Ambient Temperature,"105.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"4714141"
Raw Accumulated Counts,"5052570"
Valid Count Last Packet,"24479"
Raw Count Last Packet,"26339"
Live Time,168.114044
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8347
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5925"
1,"4503"
2,"2746"
3,"1269"
4,"435"
5,"100"
6,"16"
7,"6"
8,"3"
9,"2"
10,"1"
11,"0"
12,"0"
13,"1"
14,"2"
15,"0"
16,"0"
17,"1"
18,"0"
19,"0"
20,"1"
21,"1"
22,"0"
23,"1"
24,"0"
25,"1"
26,"0"
27,"0"
28,"0"
29,"1"
30,"2"
31,"18"
32,"114"
33,"242"
34,"368"
35,"437"
36,"459"
37,"479"
38,"445"
39,"449"
40,"452"
41,"445"
42,"496"
43,"476"
44,"524"
45,"598"
46,"601"
47,"648"
48,"706"
49,"602"
50,"642"
51,"593"
52,"618"
53,"639"
54,"667"
55,"621"
56,"664"
57,"627"
58,"632"
59,"622"
60,"676"
61,"719"
62,"739"
63,"837"
64,"782"
65,"759"
66,"688"
67,"695"
68,"689"
69,"682"
70,"826"
71,"1142"
72,"1629"
73,"2174"
74,"2702"
75,"2700"
76,"2514"
77,"2079"
78,"1619"
79,"1275"
80,"1264"
81,"1518"
82,"2470"
83,"5162"
84,"10083"
85,"17485"
86,"25519"
87,"31459"
88,"31997"
89,"26809"
90,"19255"
91,"12287"
92,"7242"
93,"4375"
94,"3145"
95,"2856"
96,"3122"
97,"3444"
98,"3812"
99,"3506"
100,"2996"
101,"2439"
102,"1870"
103,"1507"
104,"1200"
105,"1062"
106,"1032"
107,"990"
108,"1029"
109,"1054"
110,"1223"
111,"1459"
112,"1989"
113,"2677"
114,"3458"
115,"4069"
116,"4399"
117,"4290"
118,"3783"
119,"3096"
120,"2470"
121,"2016"
122,"1775"
123,"1766"
124,"1773"
125,"1830"
126,"1830"
127,"1838"
128,"2110"
129,"2533"
130,"3306"
131,"4621"
132,"6441"
133,"8750"
134,"11095"
135,"13118"
136,"13627"
137,"12889"
138,"11048"
139,"9272"
140,"8186"
141,"8153"
142,"8642"
143,"8677"
144,"8349"
145,"7437"
146,"6440"
147,"5664"
148,"4889"
149,"4591"
150,"4236"
151,"3664"
152,"3152"
153,"2747"
154,"2279"
155,"2017"
156,"1975"
157,"1906"
158,"2038"
159,"2086"
160,"2157"
161,"2568"
162,"3210"
163,"4316"
164,"6062"
165,"7791"
166,"9430"
167,"10112"
168,"9853"
169,"8415"
170,"6519"
171,"5033"
172,"3838"
173,"3248"
174,"3088"
175,"3315"
176,"3850"
177,"4983"
178,"7687"
179,"13593"
180,"26192"
181,"49621"
182,"87320"
183,"140174"
184,"196879"
185,"246037"
186,"267133"
187,"254401"
188,"211214"
189,"153977"
190,"97911"
191,"55272"
192,"27701"
193,"13426"
194,"7090"
195,"5217"
196,"5995"
197,"8869"
198,"13822"
199,"20940"
200,"29220"
201,"36534"
202,"40201"
203,"40158"
204,"35254"
205,"27245"
206,"18583"
207,"11512"
208,"6411"
209,"3693"
210,"2049"
211,"1400"
212,"1211"
213,"1087"
214,"1050"
215,"1079"
216,"1028"
217,"1099"
218,"1176"
219,"1209"
220,"1225"
221,"1431"
222,"1752"
223,"2148"
224,"2664"
225,"3300"
226,"3714"
227,"4036"
228,"3881"
229,"3657"
230,"3247"
231,"2711"
232,"2356"
233,"1966"
234,"1927"
235,"1762"
236,"1715"
237,"1672"
238,"1626"
239,"1517"
240,"1580"
241,"1610"
242,"1690"
243,"1657"
244,"1866"
245,"1860"
246,"1988"
247,"2124"
248,"2169"
249,"2160"
250,"2142"
251,"2085"
252,"2003"
253,"1821"
254,"1840"
255,"1760"
256,"1666"
257,"1760"
258,"1804"
259,"1757"
260,"1832"
261,"1778"
262,"1778"
263,"1863"
264,"1859"
265,"1828"
266,"1865"
267,"1938"
268,"1948"
269,"2027"
270,"2044"
271,"2047"
272,"2210"
273,"2226"
274,"2154"
275,"2151"
276,"2021"
277,"2124"
278,"2078"
279,"2029"
280,"2028"
281,"2011"
282,"1952"
283,"2024"
284,"2010"
285,"2107"
286,"2189"
287,"2006"
288,"2147"
289,"2137"
290,"2298"
291,"2280"
292,"2423"
293,"2777"
294,"3040"
295,"3261"
296,"3515"
297,"3656"
298,"3753"
299,"3504"
300,"3349"
301,"3042"
302,"2836"
303,"2656"
304,"2537"
305,"2601"
306,"2561"
307,"2559"
308,"2570"
309,"2661"
310,"2789"
311,"3049"
312,"3349"
313,"4103"
314,"5814"
315,"8962"
316,"15053"
317,"24629"
318,"38784"
319,"57157"
320,"77059"
321,"95052"
322,"106760"
323,"110218"
324,"103274"
325,"87652"
326,"67452"
327,"47196"
328,"31331"
329,"19329"
330,"11069"
331,"6945"
332,"4472"
333,"3336"
334,"2888"
335,"2598"
336,"2500"
337,"2586"
338,"2557"
339,"2603"
340,"2668"
341,"2632"
342,"2650"
343,"2715"
344,"2872"
345,"3066"
346,"3112"
347,"3546"
348,"4163"
349,"4993"
350,"6661"
351,"8827"
352,"11628"
353,"14383"
354,"17075"
355,"18557"
356,"19151"
357,"18048"
358,"15781"
359,"13183"
360,"10256"
361,"7522"
362,"5555"
363,"4123"
364,"3388"
365,"2855"
366,"2758"
367,"2790"
368,"2747"
369,"2733"
370,"2851"
371,"3133"
372,"3120"
373,"3312"
374,"3210"
375,"3462"
376,"3503"
377,"3409"
378,"3438"
379,"3169"
380,"2890"
381,"2807"
382,"2657"
383,"2398"
384,"2331"
385,"2294"
386,"2253"
387,"2239"
388,"2295"
389,"2188"
390,"2172"
391,"2229"
392,"2246"
393,"2199"
394,"2058"
395,"2047"
396,"2086"
397,"2133"
398,"2094"
399,"2153"
400,"2096"
401,"2177"
