Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15RTC-W-260-IVSD-MAJ"
Duration Time,180.533
Ambient Temperature,"105.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"4171124"
Raw Accumulated Counts,"4429682"
Valid Count Last Packet,"21840"
Raw Count Last Packet,"23104"
Live Time,170.087967
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8333
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"6012"
1,"4596"
2,"2773"
3,"1277"
4,"490"
5,"90"
6,"16"
7,"4"
8,"2"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"1"
19,"0"
20,"1"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"1"
28,"0"
29,"0"
30,"2"
31,"12"
32,"84"
33,"233"
34,"327"
35,"377"
36,"358"
37,"394"
38,"411"
39,"451"
40,"442"
41,"426"
42,"497"
43,"441"
44,"468"
45,"569"
46,"605"
47,"627"
48,"647"
49,"652"
50,"607"
51,"636"
52,"558"
53,"578"
54,"589"
55,"615"
56,"578"
57,"577"
58,"674"
59,"757"
60,"918"
61,"1250"
62,"1501"
63,"1690"
64,"1526"
65,"1274"
66,"1028"
67,"723"
68,"653"
69,"604"
70,"616"
71,"800"
72,"1004"
73,"1242"
74,"1500"
75,"1564"
76,"1416"
77,"1261"
78,"1024"
79,"887"
80,"831"
81,"919"
82,"1311"
83,"2389"
84,"4437"
85,"7767"
86,"10785"
87,"13013"
88,"13243"
89,"11442"
90,"8480"
91,"5387"
92,"3567"
93,"2542"
94,"2211"
95,"2607"
96,"3221"
97,"3839"
98,"4187"
99,"4017"
100,"3338"
101,"2481"
102,"1788"
103,"1347"
104,"1128"
105,"1001"
106,"965"
107,"1039"
108,"1056"
109,"1139"
110,"1272"
111,"1497"
112,"1843"
113,"2390"
114,"3068"
115,"3713"
116,"3859"
117,"3866"
118,"3423"
119,"2788"
120,"2392"
121,"1962"
122,"1830"
123,"1816"
124,"1743"
125,"1923"
126,"1955"
127,"2065"
128,"2261"
129,"2625"
130,"3371"
131,"4704"
132,"6850"
133,"9367"
134,"12332"
135,"14057"
136,"15267"
137,"14287"
138,"12043"
139,"10157"
140,"8841"
141,"8449"
