Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15LEP-12-IVSD-MAJ"
Duration Time,180.51
Ambient Temperature,"105.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"3995230"
Raw Accumulated Counts,"4236258"
Valid Count Last Packet,"20820"
Raw Count Last Packet,"22038"
Live Time,170.205994
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8366
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5872"
1,"4571"
2,"2813"
3,"1305"
4,"432"
5,"104"
6,"21"
7,"3"
8,"0"
9,"2"
10,"0"
11,"1"
12,"0"
13,"1"
14,"0"
15,"1"
16,"0"
17,"2"
18,"0"
19,"1"
20,"0"
21,"0"
22,"1"
23,"0"
24,"0"
25,"0"
26,"0"
27,"1"
28,"0"
29,"0"
30,"0"
31,"14"
32,"108"
33,"249"
34,"346"
35,"387"
36,"423"
37,"401"
38,"395"
39,"436"
40,"408"
41,"392"
42,"420"
43,"468"
44,"488"
45,"550"
46,"616"
47,"618"
48,"695"
49,"673"
50,"586"
51,"564"
52,"577"
53,"564"
54,"584"
55,"595"
56,"598"
57,"603"
58,"587"
59,"543"
60,"615"
61,"599"
62,"662"
63,"662"
64,"663"
65,"663"
66,"586"
67,"629"
68,"662"
69,"780"
70,"1136"
71,"1643"
72,"2587"
73,"3682"
74,"4683"
75,"4952"
76,"4471"
77,"3548"
78,"2481"
79,"1809"
80,"1523"
81,"1716"
82,"2831"
83,"5648"
84,"11355"
85,"19713"
86,"28780"
87,"35641"
88,"36142"
89,"30993"
90,"21876"
91,"13596"
92,"7933"
93,"4580"
94,"3151"
95,"2622"
96,"2572"
97,"2732"
98,"2905"
99,"2678"
100,"2464"
101,"1906"
102,"1541"
103,"1283"
104,"1128"
105,"1083"
106,"1039"
107,"1027"
108,"1102"
109,"1189"
110,"1510"
111,"2104"
112,"3352"
113,"5298"
114,"7876"
115,"9799"
116,"11114"
117,"10734"
118,"8869"
119,"6426"
120,"4416"
121,"3166"
122,"2532"
123,"2175"
124,"2150"
125,"2123"
126,"1986"
127,"1907"
128,"1941"
129,"2296"
130,"2876"
131,"4140"
132,"5882"
133,"8266"
134,"10960"
135,"12947"
136,"13676"
137,"12600"
138,"11092"
139,"9109"
140,"8332"
141,"8302"
142,"8586"
143,"8694"
144,"8158"
145,"7326"
146,"6295"
147,"5525"
148,"4859"
149,"4160"
150,"3750"
151,"3321"
152,"2869"
153,"2346"
154,"1972"
155,"1780"
156,"1681"
157,"1696"
158,"1696"
159,"1847"
160,"2126"
161,"2734"
162,"4042"
163,"6140"
164,"9184"
165,"12784"
166,"15798"
167,"16963"
168,"16100"
169,"13555"
170,"10146"
171,"6926"
172,"4403"
173,"3148"
174,"2614"
175,"2669"
176,"3148"
177,"4149"
178,"6114"
179,"10539"
180,"18910"
181,"34888"
182,"60282"
183,"95155"
184,"134215"
185,"165948"
186,"180095"
187,"171065"
188,"142312"
189,"102971"
190,"65470"
191,"36901"
192,"18900"
193,"8916"
194,"4980"
195,"3676"
196,"4292"
197,"6238"
198,"9631"
199,"14500"
200,"19982"
201,"24794"
202,"27606"
203,"27468"
204,"24079"
205,"18658"
206,"12996"
