Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15LEP-83-IVSD-MAJ"
Duration Time,180.286
Ambient Temperature,"105.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"4803241"
Raw Accumulated Counts,"5156308"
Valid Count Last Packet,"25309"
Raw Count Last Packet,"27091"
Live Time,167.920059
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8359
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5785"
1,"4621"
2,"2753"
3,"1358"
4,"440"
5,"99"
6,"8"
7,"8"
8,"5"
9,"1"
10,"0"
11,"3"
12,"0"
13,"0"
14,"0"
15,"0"
16,"2"
17,"0"
18,"0"
19,"1"
20,"1"
21,"1"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"1"
30,"1"
31,"13"
32,"108"
33,"278"
34,"439"
35,"460"
36,"467"
37,"542"
38,"516"
39,"481"
40,"468"
41,"505"
42,"511"
43,"532"
44,"601"
45,"563"
46,"636"
47,"656"
48,"705"
49,"765"
50,"649"
51,"652"
52,"644"
53,"685"
54,"687"
55,"664"
56,"711"
57,"695"
58,"670"
59,"681"
60,"716"
61,"688"
62,"696"
63,"757"
64,"747"
65,"707"
66,"732"
67,"695"
68,"787"
69,"809"
70,"1074"
71,"1463"
72,"2076"
73,"2877"
74,"3494"
75,"3666"
76,"3379"
77,"2641"
78,"2016"
79,"1555"
80,"1372"
81,"1454"
82,"2187"
83,"4114"
84,"7734"
85,"13104"
86,"19606"
87,"23547"
88,"24070"
89,"20634"
90,"14661"
91,"9519"
92,"5827"
93,"3823"
94,"3159"
95,"3245"
96,"3766"
97,"4403"
98,"4815"
99,"4552"
100,"3859"
101,"3095"
102,"2296"
103,"1788"
104,"1499"
105,"1270"
106,"1312"
107,"1240"
108,"1399"
109,"1528"
110,"1838"
111,"2649"
112,"3925"
113,"5965"
114,"8422"
115,"10623"
116,"11685"
117,"11262"
118,"9532"
119,"6706"
120,"4977"
121,"3535"
122,"2877"
123,"2584"
124,"2475"
125,"2383"
126,"2414"
127,"2350"
128,"2379"
129,"2707"
130,"3424"
131,"4613"
132,"6548"
133,"8814"
134,"11192"
135,"13064"
136,"13906"
137,"12998"
138,"11248"
139,"9487"
140,"8501"
141,"8535"
142,"8853"
143,"9030"
144,"8782"
145,"7749"
146,"6890"
147,"5847"
148,"5247"
149,"4861"
150,"4476"
151,"3894"
152,"3383"
153,"2846"
154,"2527"
155,"2300"
156,"2190"
157,"2241"
158,"2277"
159,"2336"
160,"2566"
161,"3184"
162,"3863"
163,"5378"
164,"7520"
165,"10138"
166,"11896"
167,"12975"
168,"12343"
169,"10547"
170,"8452"
171,"6272"
172,"4774"
173,"3966"
174,"3751"
175,"3977"
176,"4676"
177,"6259"
178,"9703"
179,"16935"
180,"32585"
181,"62266"
182,"109911"
183,"176165"
184,"249427"
185,"308944"
186,"337126"
187,"319979"
188,"265029"
189,"192348"
190,"122203"
191,"68938"
192,"34631"
193,"16408"
194,"8400"
195,"6216"
196,"7399"
197,"10943"
198,"17282"
199,"26214"
200,"35804"
201,"45376"
202,"50549"
203,"49882"
204,"43350"
205,"33477"
206,"22837"
207,"13956"
208,"7755"
209,"4118"
210,"2247"
211,"1539"
212,"1123"
213,"1070"
214,"1004"
215,"1020"
216,"1035"
217,"1005"
218,"1107"
219,"1148"
220,"1239"
221,"1459"
222,"1719"
223,"2225"
224,"2853"
225,"3516"
226,"4111"
227,"4327"
228,"4421"
229,"4104"
230,"3360"
231,"2830"
232,"2314"
233,"1901"
234,"1692"
235,"1585"
236,"1511"
237,"1515"
238,"1437"
239,"1483"
240,"1469"
241,"1482"
242,"1575"
243,"1543"
244,"1688"
245,"1813"
246,"1971"
247,"2144"
248,"2276"
249,"2290"
250,"2232"
251,"2263"
252,"1935"
253,"1883"
254,"1760"
255,"1626"
256,"1602"
257,"1568"
258,"1634"
259,"1603"
260,"1611"
261,"1572"
262,"1682"
263,"1600"
264,"1624"
265,"1668"
266,"1689"
267,"1740"
268,"1760"
269,"1823"
270,"1938"
271,"2078"
272,"2146"
273,"2136"
274,"2254"
275,"2116"
276,"2036"
277,"1972"
278,"1843"
279,"1803"
280,"1817"
281,"1800"
282,"1825"
283,"1899"
284,"1802"
285,"1803"
286,"1838"
287,"1831"
288,"1845"
289,"1872"
290,"1958"
291,"2026"
292,"2012"
293,"1957"
294,"2134"
295,"2259"
296,"2271"
297,"2412"
298,"2333"
299,"2467"
300,"2368"
301,"2282"
302,"2234"
303,"2280"
304,"2145"
305,"2180"
306,"2312"
307,"2261"
308,"2230"
309,"2319"
310,"2305"
311,"2551"
312,"2682"
313,"3159"
314,"3983"
315,"5734"
316,"8869"
317,"14105"
318,"21590"
319,"31482"
320,"41921"
321,"52264"
322,"58462"
323,"59636"
324,"55633"
325,"47227"
326,"36801"
327,"26360"
328,"17333"
329,"10838"
330,"6842"
331,"4460"
332,"3330"
333,"2715"
334,"2485"
335,"2379"
336,"2432"
337,"2437"
338,"2425"
339,"2360"
340,"2439"
341,"2478"
342,"2541"
343,"2500"
344,"2603"
345,"2606"
346,"2785"
347,"3009"
348,"3276"
349,"3811"
350,"4818"
351,"5952"
352,"7119"
353,"8810"
354,"10220"
355,"11157"
356,"11316"
357,"10752"
358,"9736"
359,"7953"
360,"6576"
361,"5115"
362,"4000"
363,"3491"
364,"2981"
365,"2782"
366,"2658"
367,"2814"
368,"2808"
369,"2786"
370,"2929"
371,"3137"
372,"3249"
373,"3515"
374,"3529"
375,"3569"
376,"3565"
377,"3538"
378,"3258"
379,"3207"
380,"2935"
381,"2640"
382,"2456"
383,"2358"
384,"2232"
385,"2260"
386,"2259"
387,"2113"
388,"2168"
389,"2167"
390,"2190"
391,"2175"
392,"2182"
393,"2086"
394,"2041"
395,"2082"
396,"2077"
397,"2022"
398,"2107"
399,"2144"
400,"2043"
401,"2024"
402,"2178"
403,"2252"
404,"2266"
405,"2284"
406,"2226"
407,"2251"
408,"2229"
409,"2054"
410,"2067"
411,"2067"
412,"2080"
413,"2069"
414,"2161"
415,"2002"
416,"2134"
417,"2015"
418,"2037"
419,"2084"
420,"2050"
421,"1952"
422,"1892"
423,"1981"
424,"1904"
425,"1952"
426,"1921"
427,"1936"
428,"1944"
429,"2009"
430,"2060"
431,"2145"
432,"2244"
433,"2330"
434,"2364"
435,"2375"
436,"2364"
437,"2333"
438,"2338"
439,"2239"
440,"2116"
441,"2053"
442,"2038"
443,"2078"
444,"2028"
445,"2048"
446,"1985"
447,"2019"
448,"2023"
449,"2022"
450,"1993"
451,"2015"
452,"2031"
453,"1974"
454,"2087"
455,"1984"
456,"2072"
457,"1975"
458,"1972"
459,"2003"
460,"2009"
461,"1937"
462,"2011"
463,"2030"
464,"2072"
465,"1977"
466,"1987"
467,"1974"
468,"1984"
469,"1955"
470,"2016"
471,"2018"
472,"2034"
473,"1963"
474,"1934"
475,"2026"
476,"1990"
477,"2028"
478,"2000"
479,"1998"
480,"1908"
481,"1980"
482,"1986"
483,"1964"
484,"2033"
485,"2056"
486,"1984"
487,"2001"
488,"1965"
489,"1974"
490,"1929"
491,"1901"
492,"1926"
493,"1922"
494,"1901"
495,"1906"
496,"1943"
497,"1833"
498,"1950"
499,"1841"
500,"1881"
501,"1875"
502,"1918"
503,"1873"
504,"1913"
505,"1876"
506,"1869"
507,"1909"
508,"1957"
509,"1998"
510,"1897"
511,"1914"
512,"1927"
513,"1918"
514,"1841"
515,"1823"
516,"1789"
517,"1813"
518,"1791"
519,"1828"
520,"1774"
521,"1761"
522,"1781"
523,"1790"
524,"1801"
525,"1817"
526,"1778"
527,"1738"
528,"1783"
529,"1726"
530,"1763"
531,"1732"
532,"1656"
533,"1639"
534,"1745"
535,"1736"
536,"1683"
537,"1711"
538,"1691"
539,"1651"
540,"1703"
541,"1738"
542,"1643"
543,"1727"
544,"1566"
545,"1592"
546,"1601"
547,"1651"
548,"1528"
549,"1576"
550,"1651"
551,"1565"
552,"1563"
553,"1592"
554,"1559"
555,"1620"
556,"1528"
557,"1549"
558,"1551"
559,"1545"
560,"1504"
561,"1535"
562,"1448"
563,"1436"
564,"1515"
565,"1439"
566,"1418"
567,"1447"
568,"1487"
569,"1479"
570,"1491"
571,"1465"
572,"1407"
573,"1443"
574,"1371"
575,"1369"
576,"1435"
577,"1350"
578,"1443"
579,"1359"
580,"1314"
581,"1342"
582,"1418"
583,"1301"
584,"1402"
585,"1363"
586,"1289"
587,"1356"
588,"1361"
589,"1290"
590,"1247"
591,"1249"
592,"1272"
593,"1250"
594,"1241"
595,"1283"
596,"1238"
597,"1186"
598,"1225"
599,"1242"
600,"1184"
601,"1223"
602,"1237"
603,"1175"
604,"1244"
605,"1193"
606,"1208"
607,"1169"
608,"1227"
609,"1172"
610,"1198"
611,"1150"
612,"1062"
613,"1140"
614,"1106"
615,"1141"
616,"1168"
617,"1130"
618,"1061"
619,"1102"
620,"1121"
621,"1124"
622,"1052"
623,"1093"
624,"1002"
625,"1058"
626,"1042"
627,"1039"
628,"1044"
629,"1027"
630,"1046"
631,"959"
632,"1007"
633,"967"
634,"974"
635,"1009"
636,"967"
637,"946"
638,"928"
639,"871"
640,"937"
641,"904"
642,"938"
643,"902"
644,"881"
645,"835"
646,"905"
647,"911"
648,"822"
649,"880"
650,"903"
651,"806"
652,"805"
653,"796"
654,"804"
655,"800"
656,"774"
657,"768"
658,"812"
659,"747"
660,"713"
661,"702"
662,"722"
663,"709"
664,"740"
665,"667"
666,"640"
667,"681"
668,"669"
669,"656"
670,"643"
671,"619"
672,"642"
673,"621"
674,"658"
675,"620"
676,"655"
677,"592"
678,"607"
679,"640"
680,"562"
681,"552"
682,"550"
683,"494"
684,"555"
685,"495"
686,"562"
687,"490"
688,"503"
689,"460"
690,"462"
691,"424"
692,"463"
693,"465"
694,"423"
695,"466"
696,"390"
697,"427"
698,"392"
699,"387"
700,"375"
701,"366"
702,"344"
703,"347"
704,"312"
705,"317"
706,"315"
707,"318"
708,"307"
709,"284"
710,"273"
711,"277"
712,"227"
713,"236"
714,"232"
715,"266"
716,"217"
717,"239"
718,"246"
719,"181"
720,"203"
721,"174"
722,"171"
723,"184"
724,"152"
725,"138"
726,"157"
727,"122"
728,"154"
729,"131"
730,"114"
731,"111"
732,"125"
733,"109"
734,"86"
735,"91"
736,"78"
737,"106"
738,"69"
739,"85"
740,"68"
741,"59"
742,"64"
743,"57"
744,"59"
745,"52"
746,"56"
747,"44"
748,"35"
749,"51"
750,"29"
751,"34"
752,"19"
753,"22"
754,"19"
755,"14"
756,"14"
757,"11"
758,"8"
759,"6"
760,"7"
761,"8"
762,"4"
763,"5"
764,"8"
765,"3"
766,"8"
767,"11"
768,"9"
769,"9"
770,"8"
771,"9"
772,"8"
773,"4"
774,"8"
775,"3"
776,"6"
777,"7"
778,"4"
779,"10"
780,"3"
781,"5"
782,"9"
783,"7"
784,"6"
785,"7"
786,"4"
787,"9"
788,"1"
789,"5"
790,"7"
791,"8"
792,"12"
793,"7"
794,"5"
795,"2"
796,"3"
797,"9"
798,"5"
799,"5"
800,"5"
801,"4"
802,"5"
803,"6"
804,"2"
805,"8"
806,"5"
807,"5"
808,"6"
809,"2"
810,"2"
811,"0"
812,"4"
813,"10"
814,"5"
815,"8"
816,"6"
817,"3"
818,"6"
819,"8"
820,"6"
821,"3"
822,"5"
823,"5"
824,"2"
825,"3"
826,"6"
827,"11"
828,"6"
829,"9"
830,"4"
831,"4"
832,"4"
833,"5"
834,"7"
835,"6"
836,"4"
837,"2"
838,"7"
839,"4"
840,"3"
841,"11"
842,"4"
843,"4"
844,"3"
845,"1"
846,"1"
847,"3"
848,"5"
849,"4"
850,"2"
851,"2"
852,"1"
853,"7"
854,"6"
855,"3"
856,"2"
857,"7"
858,"5"
859,"6"
860,"5"
861,"5"
862,"4"
863,"2"
864,"1"
865,"4"
866,"3"
867,"1"
868,"5"
869,"5"
870,"1"
871,"4"
872,"2"
873,"4"
874,"2"
875,"2"
876,"0"
877,"2"
878,"2"
879,"2"
880,"6"
881,"2"
882,"2"
883,"4"
884,"4"
885,"3"
886,"2"
887,"1"
888,"5"
889,"2"
890,"3"
891,"5"
892,"2"
893,"2"
894,"2"
895,"4"
896,"1"
897,"0"
898,"4"
899,"2"
900,"4"
901,"3"
902,"4"
903,"2"
904,"4"
905,"2"
906,"0"
907,"1"
908,"1"
909,"3"
910,"2"
911,"1"
912,"0"
913,"1"
914,"1"
915,"2"
916,"3"
917,"1"
918,"2"
919,"2"
920,"0"
921,"2"
922,"0"
923,"1"
924,"2"
925,"2"
926,"3"
927,"1"
928,"0"
929,"1"
930,"3"
931,"0"
932,"0"
933,"1"
934,"2"
935,"2"
936,"0"
937,"0"
938,"1"
939,"0"
940,"0"
941,"1"
942,"3"
943,"1"
944,"1"
945,"2"
946,"1"
947,"3"
948,"1"
949,"1"
950,"0"
951,"1"
952,"1"
953,"1"
954,"1"
955,"1"
956,"1"
957,"1"
958,"1"
959,"3"
960,"1"
961,"2"
962,"2"
963,"1"
964,"1"
965,"3"
966,"4"
967,"0"
968,"1"
969,"1"
970,"0"
971,"0"
972,"1"
973,"2"
974,"0"
975,"1"
976,"1"
977,"0"
978,"0"
979,"2"
980,"2"
981,"1"
982,"1"
983,"1"
984,"1"
985,"0"
986,"1"
987,"2"
988,"0"
989,"0"
990,"0"
991,"0"
992,"3"
993,"1"
994,"0"
995,"0"
996,"2"
997,"2"
998,"1"
999,"1"
1000,"0"
1001,"0"
1002,"0"
1003,"1"
1004,"0"
1005,"2"
1006,"1"
1007,"0"
1008,"1"
1009,"1"
1010,"0"
1011,"3"
1012,"1"
1013,"2"
1014,"1"
1015,"2"
1016,"1"
1017,"1"
1018,"1"
1019,"0"
1020,"2"
1021,"0"
1022,"1"
1023,"0"
1024,"1"
1025,"0"
1026,"0"
1027,"0"
1028,"0"
1029,"0"
1030,"0"
1031,"1"
1032,"0"
1033,"0"
1034,"0"
1035,"0"
1036,"1"
1037,"1"
1038,"0"
1039,"1"
1040,"0"
1041,"0"
1042,"0"
1043,"0"
1044,"0"
1045,"0"
1046,"1"
1047,"0"
1048,"0"
1049,"1"
1050,"0"
1051,"0"
1052,"1"
1053,"1"
1054,"0"
1055,"0"
1056,"0"
1057,"0"
1058,"0"
1059,"2"
1060,"0"
1061,"1"
1062,"1"
1063,"2"
