Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15BL-1-61-IVSD-MAJ"
Duration Time,180.533
Ambient Temperature,"105.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"3529856"
Raw Accumulated Counts,"3721154"
Valid Count Last Packet,"18445"
Raw Count Last Packet,"19476"
Live Time,171.390045
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8364
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"6064"
1,"4721"
2,"2694"
3,"1283"
4,"464"
5,"105"
6,"11"
7,"10"
8,"0"
9,"1"
10,"1"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"0"
19,"1"
20,"1"
21,"0"
22,"0"
23,"0"
24,"2"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"7"
32,"60"
33,"221"
34,"277"
35,"327"
36,"350"
37,"329"
38,"323"
39,"363"
40,"364"
41,"360"
42,"380"
43,"380"
44,"421"
45,"459"
46,"535"
47,"561"
48,"560"
49,"537"
50,"530"
51,"462"
52,"459"
53,"468"
54,"506"
55,"505"
56,"456"
57,"473"
58,"473"
59,"479"
60,"430"
61,"505"
62,"487"
63,"512"
64,"510"
65,"511"
66,"504"
67,"550"
68,"539"
69,"635"
70,"840"
71,"1400"
72,"2271"
73,"3400"
74,"4163"
75,"4388"
76,"3971"
77,"3170"
78,"2226"
79,"1610"
80,"1336"
81,"1440"
82,"2432"
83,"4991"
84,"9982"
85,"17580"
86,"25868"
87,"31793"
88,"32221"
89,"27569"
90,"19486"
91,"12035"
92,"6987"
93,"3965"
94,"2490"
95,"1849"
96,"1471"
97,"1556"
98,"1580"
99,"1503"
100,"1430"
101,"1305"
102,"1205"
103,"949"
104,"890"
105,"825"
106,"785"
107,"767"
108,"795"
109,"917"
110,"1119"
111,"1545"
112,"2382"
113,"3516"
114,"5175"
115,"6621"
116,"7398"
117,"7037"
118,"5932"
119,"4532"
120,"3189"
121,"2281"
122,"1876"
123,"1685"
124,"1618"
125,"1611"
126,"1664"
127,"1652"
128,"1757"
129,"2292"
130,"3081"
131,"4489"
132,"6508"
133,"9044"
134,"11831"
135,"13550"
136,"14343"
137,"13580"
138,"11498"
139,"9670"
140,"8540"
141,"8522"
142,"8847"
143,"8771"
144,"8472"
145,"7528"
146,"6212"
147,"5388"
148,"4669"
149,"4019"
150,"3573"
151,"2926"
152,"2495"
153,"2042"
154,"1703"
155,"1473"
156,"1343"
157,"1242"
158,"1284"
159,"1458"
160,"1643"
161,"2309"
162,"3552"
163,"5675"
164,"8702"
165,"12046"
166,"14982"
167,"16318"
168,"15609"
169,"12929"
170,"9419"
171,"6178"
172,"3863"
173,"2476"
174,"1783"
175,"1676"
176,"2001"
177,"2501"
178,"3583"
179,"5559"
180,"9272"
181,"15571"
182,"25746"
183,"39311"
184,"54889"
185,"66697"
186,"72865"
187,"68741"
188,"56513"
189,"41361"
190,"26440"
191,"15159"
192,"8033"
193,"4197"
194,"2393"
195,"1942"
196,"2196"
197,"2983"
198,"4175"
199,"6121"
200,"8451"
201,"10234"
202,"11432"
203,"11169"
204,"9996"
205,"7938"
206,"5695"
207,"3898"
208,"2634"
209,"1844"
210,"1400"
211,"1195"
212,"1199"
213,"1149"
214,"1199"
215,"1191"
216,"1219"
217,"1250"
218,"1341"
219,"1467"
220,"1764"
221,"2203"
222,"3097"
223,"4575"
224,"6440"
225,"8536"
226,"10247"
227,"11076"
228,"11013"
229,"9969"
230,"8037"
231,"6036"
232,"4422"
233,"3374"
234,"2564"
235,"2272"
236,"2030"
237,"1894"
238,"1847"
239,"1736"
240,"1778"
241,"1932"
242,"1881"
243,"2167"
244,"2374"
245,"2753"
246,"3019"
247,"3478"
248,"3776"
249,"3872"
250,"3772"
251,"3539"
252,"3014"
253,"2689"
254,"2357"
255,"2140"
256,"2136"
257,"2072"
258,"1971"
259,"2017"
260,"2020"
261,"2065"
262,"2122"
263,"2178"
264,"2196"
265,"2257"
266,"2311"
267,"2454"
268,"2577"
269,"2812"
270,"3015"
271,"3271"
272,"3486"
273,"3673"
274,"3447"
275,"3313"
276,"3117"
277,"2897"
278,"2733"
279,"2564"
280,"2406"
281,"2457"
282,"2351"
283,"2489"
284,"2368"
285,"2425"
286,"2458"
287,"2461"
288,"2534"
289,"2537"
290,"2585"
291,"2612"
292,"2588"
293,"2734"
294,"2906"
295,"3128"
296,"3137"
297,"3308"
298,"3223"
299,"3393"
300,"3193"
301,"3118"
302,"3146"
303,"2944"
304,"2905"
305,"2962"
306,"2906"
307,"2902"
308,"3113"
309,"3108"
310,"3308"
311,"3389"
312,"3768"
313,"4764"
314,"6503"
315,"10064"
316,"17003"
317,"28116"
318,"44369"
319,"65067"
320,"88100"
