Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15BL-1-19-IVSD-MAJ"
Duration Time,180.343
Ambient Temperature,"105.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"4424753"
Raw Accumulated Counts,"4722860"
Valid Count Last Packet,"23232"
Raw Count Last Packet,"24830"
Live Time,169.046066
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8372
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5905"
1,"4605"
2,"2785"
3,"1321"
4,"413"
5,"112"
6,"13"
7,"6"
8,"1"
9,"1"
10,"1"
11,"3"
12,"1"
13,"2"
14,"0"
15,"1"
16,"0"
17,"0"
18,"1"
19,"2"
20,"0"
21,"0"
22,"1"
23,"1"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"15"
32,"83"
33,"284"
34,"392"
35,"388"
36,"457"
37,"456"
38,"452"
39,"458"
40,"445"
41,"465"
42,"508"
43,"478"
44,"571"
45,"540"
46,"605"
47,"661"
48,"663"
49,"671"
50,"644"
51,"621"
52,"599"
53,"600"
54,"611"
55,"646"
56,"650"
57,"622"
58,"650"
59,"640"
60,"669"
61,"776"
62,"864"
63,"797"
64,"799"
65,"732"
66,"674"
67,"641"
68,"709"
69,"678"
70,"963"
71,"1267"
72,"1768"
73,"2476"
74,"3013"
75,"3228"
76,"2941"
77,"2330"
78,"1760"
79,"1377"
80,"1268"
81,"1478"
82,"2282"
83,"4600"
84,"9020"
85,"15738"
86,"23219"
87,"28181"
88,"28490"
89,"24497"
90,"17821"
91,"11060"
92,"6527"
93,"4041"
94,"3062"
95,"3009"
96,"3337"
97,"3846"
98,"3985"
99,"3848"
100,"3509"
101,"2706"
102,"1964"
103,"1595"
104,"1281"
105,"1176"
106,"1058"
107,"1078"
108,"1135"
109,"1303"
110,"1450"
111,"1867"
112,"2521"
113,"3544"
114,"4774"
115,"6009"
116,"6408"
117,"6101"
118,"5299"
119,"4104"
120,"3066"
121,"2429"
122,"2120"
123,"1956"
124,"2020"
125,"1951"
126,"1923"
127,"1982"
128,"2193"
129,"2474"
130,"3199"
131,"4368"
132,"6399"
133,"8667"
134,"11243"
135,"13245"
136,"13894"
137,"13038"
138,"11325"
139,"9525"
140,"8271"
141,"8233"
142,"8687"
143,"8803"
144,"8435"
145,"7515"
146,"6554"
147,"5564"
148,"4924"
149,"4577"
150,"4071"
151,"3614"
152,"3188"
153,"2653"
154,"2253"
155,"2032"
156,"1895"
157,"2019"
158,"1986"
159,"2106"
160,"2306"
161,"2672"
162,"3469"
163,"4601"
164,"6373"
165,"8490"
166,"9899"
167,"10781"
168,"10272"
169,"8968"
170,"7026"
171,"5220"
172,"4011"
173,"3475"
174,"3314"
175,"3412"
176,"4139"
177,"5477"
178,"8090"
179,"14655"
180,"28437"
181,"53504"
182,"95863"
183,"152242"
184,"215013"
185,"266216"
186,"289681"
187,"275138"
188,"227939"
189,"165007"
190,"105468"
191,"58910"
192,"29741"
193,"13908"
194,"7252"
195,"5475"
196,"6497"
197,"9664"
198,"15299"
199,"22909"
200,"31615"
201,"39670"
202,"43536"
203,"43167"
204,"37377"
205,"28880"
206,"19801"
207,"12192"
208,"6802"
209,"3778"
210,"2209"
211,"1451"
212,"1195"
213,"1116"
214,"1036"
215,"1040"
216,"1059"
217,"1053"
218,"1094"
219,"1112"
220,"1182"
221,"1520"
222,"1777"
223,"2250"
224,"2955"
225,"3653"
226,"4223"
227,"4504"
228,"4677"
229,"4162"
230,"3463"
231,"2843"
232,"2303"
233,"2014"
234,"1758"
235,"1598"
236,"1533"
237,"1576"
238,"1390"
239,"1435"
240,"1420"
241,"1500"
242,"1494"
243,"1601"
244,"1621"
245,"1796"
246,"1914"
247,"2056"
248,"2179"
249,"2190"
250,"2127"
251,"2123"
252,"2002"
253,"1834"
254,"1756"
255,"1708"
256,"1645"
257,"1595"
258,"1656"
259,"1624"
260,"1610"
261,"1687"
262,"1654"
263,"1726"
264,"1721"
265,"1680"
266,"1845"
267,"1796"
268,"1849"
269,"2006"
270,"2073"
271,"2175"
272,"2232"
273,"2311"
274,"2326"
275,"2151"
276,"2075"
277,"2022"
278,"1990"
279,"1897"
280,"1891"
281,"1822"
282,"1854"
283,"1815"
284,"1853"
285,"1978"
286,"1861"
287,"1868"
288,"1966"
289,"1942"
290,"2046"
291,"1975"
292,"2210"
293,"2418"
294,"2444"
295,"2513"
296,"2699"
297,"2723"
298,"2723"
299,"2726"
300,"2593"
301,"2505"
302,"2417"
303,"2402"
304,"2243"
305,"2260"
306,"2318"
307,"2354"
308,"2330"
309,"2373"
310,"2544"
311,"2560"
312,"2895"
313,"3183"
314,"4027"
315,"5740"
316,"9285"
317,"14581"
318,"22080"
319,"32162"
320,"43121"
321,"52764"
322,"59763"
323,"60552"
324,"56256"
325,"47770"
326,"37069"
327,"26567"
328,"17436"
329,"11059"
330,"7012"
331,"4463"
332,"3391"
333,"2817"
334,"2549"
335,"2473"
336,"2462"
337,"2392"
338,"2391"
339,"2399"
340,"2411"
341,"2450"
342,"2481"
343,"2581"
344,"2624"
345,"2615"
346,"2800"
347,"2932"
348,"3320"
349,"3869"
350,"4738"
351,"6000"
352,"7416"
353,"8971"
354,"10460"
355,"11296"
356,"11548"
357,"10877"
358,"9715"
359,"8236"
360,"6420"
361,"5175"
362,"4118"
363,"3504"
364,"3101"
365,"2741"
366,"2667"
367,"2738"
368,"2746"
369,"2915"
370,"2995"
371,"3132"
372,"3282"
373,"3350"
374,"3641"
375,"3686"
376,"3562"
377,"3579"
378,"3392"
379,"3211"
380,"2981"
381,"2814"
382,"2684"
383,"2431"
384,"2367"
385,"2393"
386,"2272"
387,"2191"
388,"2202"
389,"2300"
390,"2256"
391,"2263"
392,"2240"
393,"2281"
394,"2166"
395,"2203"
396,"2143"
397,"2137"
398,"2122"
399,"2221"
400,"2157"
401,"2170"
402,"2193"
403,"2191"
404,"2234"
405,"2303"
406,"2285"
407,"2332"
408,"2172"
409,"2242"
410,"2266"
411,"2149"
412,"2191"
413,"2154"
414,"2099"
415,"2047"
416,"2085"
417,"2181"
418,"2127"
419,"2083"
420,"2122"
421,"1945"
422,"2006"
423,"2037"
424,"2134"
425,"1898"
426,"2078"
427,"2086"
428,"2099"
429,"2089"
430,"2097"
431,"2237"
432,"2180"
433,"2315"
434,"2414"
435,"2415"
436,"2534"
437,"2429"
438,"2347"
439,"2268"
440,"2239"
441,"2183"
442,"2137"
443,"2009"
444,"2100"
445,"2083"
446,"2040"
447,"1984"
448,"2157"
449,"2180"
450,"2006"
451,"2125"
452,"2008"
453,"2003"
454,"2126"
455,"2014"
456,"2091"
457,"2032"
458,"2097"
459,"2095"
460,"2031"
461,"2108"
462,"2114"
463,"2089"
464,"2043"
465,"2006"
466,"2109"
467,"2150"
468,"2080"
469,"2109"
470,"2034"
471,"2069"
472,"2014"
473,"2013"
474,"1993"
475,"2032"
476,"2011"
477,"2058"
478,"2095"
479,"2038"
480,"2095"
481,"2087"
482,"2128"
483,"2136"
484,"2046"
485,"1979"
486,"2065"
487,"2069"
488,"2092"
489,"1967"
490,"2007"
491,"2006"
492,"2012"
493,"2001"
494,"2007"
495,"1961"
496,"1905"
497,"1962"
498,"1952"
499,"1915"
500,"1958"
501,"2046"
502,"2058"
503,"1993"
504,"1973"
505,"2038"
506,"2007"
507,"1977"
508,"2037"
509,"2031"
510,"2120"
511,"1958"
512,"1963"
513,"2016"
514,"1910"
515,"1893"
516,"1917"
517,"1911"
518,"1840"
519,"1789"
520,"1789"
521,"1875"
522,"1859"
523,"1873"
524,"1847"
525,"1916"
526,"1835"
527,"1787"
528,"1821"
529,"1754"
530,"1812"
531,"1779"
532,"1827"
533,"1763"
534,"1801"
535,"1779"
536,"1851"
537,"1776"
538,"1702"
539,"1735"
540,"1781"
541,"1757"
542,"1734"
543,"1691"
544,"1711"
545,"1713"
546,"1727"
547,"1685"
548,"1620"
549,"1651"
550,"1620"
551,"1669"
552,"1646"
553,"1592"
554,"1617"
555,"1656"
556,"1590"
557,"1588"
558,"1613"
559,"1638"
560,"1639"
561,"1531"
562,"1500"
563,"1568"
564,"1571"
565,"1543"
566,"1618"
567,"1548"
568,"1571"
569,"1555"
570,"1504"
571,"1568"
572,"1454"
573,"1468"
574,"1557"
575,"1491"
576,"1490"
577,"1446"
578,"1380"
579,"1482"
580,"1488"
581,"1406"
582,"1385"
583,"1415"
584,"1445"
585,"1416"
586,"1365"
587,"1411"
588,"1337"
589,"1412"
590,"1383"
591,"1410"
592,"1320"
593,"1395"
594,"1331"
595,"1379"
596,"1329"
597,"1314"
598,"1341"
599,"1274"
600,"1247"
601,"1359"
602,"1273"
603,"1311"
604,"1215"
605,"1233"
606,"1256"
607,"1212"
608,"1194"
609,"1175"
610,"1164"
611,"1193"
612,"1297"
613,"1211"
614,"1169"
615,"1196"
616,"1217"
617,"1169"
618,"1199"
619,"1164"
620,"1160"
621,"1128"
622,"1098"
623,"1067"
624,"1042"
625,"1068"
626,"1069"
627,"1108"
628,"1044"
629,"1072"
630,"1074"
631,"1100"
632,"1036"
633,"1017"
634,"1051"
635,"987"
636,"1018"
637,"985"
638,"977"
639,"942"
640,"961"
641,"943"
642,"956"
643,"1013"
644,"922"
645,"951"
646,"942"
647,"833"
648,"860"
649,"878"
650,"899"
651,"861"
652,"868"
653,"893"
654,"834"
655,"844"
656,"840"
657,"850"
658,"846"
659,"808"
660,"747"
661,"752"
662,"761"
663,"768"
664,"778"
665,"698"
666,"723"
667,"712"
668,"665"
669,"643"
670,"682"
671,"684"
672,"651"
673,"632"
674,"645"
675,"625"
676,"624"
677,"600"
678,"581"
679,"610"
680,"636"
681,"578"
682,"571"
683,"575"
684,"572"
685,"549"
686,"537"
687,"546"
688,"494"
689,"500"
690,"483"
691,"486"
692,"443"
693,"475"
694,"470"
695,"447"
696,"447"
697,"428"
698,"402"
699,"424"
700,"428"
701,"363"
702,"354"
703,"343"
704,"366"
705,"344"
706,"341"
707,"322"
708,"287"
709,"297"
710,"281"
711,"286"
712,"242"
713,"260"
714,"254"
715,"258"
716,"233"
717,"238"
718,"216"
719,"214"
720,"199"
721,"168"
722,"179"
723,"162"
724,"147"
725,"141"
726,"154"
727,"133"
728,"134"
729,"143"
730,"125"
731,"121"
732,"102"
733,"127"
734,"113"
735,"99"
736,"85"
737,"85"
738,"97"
739,"85"
740,"75"
741,"75"
742,"71"
743,"63"
744,"47"
745,"53"
746,"48"
747,"42"
748,"36"
749,"34"
750,"39"
751,"27"
752,"25"
753,"26"
754,"17"
755,"23"
756,"16"
757,"13"
758,"17"
759,"6"
760,"5"
761,"8"
762,"12"
763,"6"
764,"5"
765,"10"
766,"8"
767,"10"
768,"12"
769,"7"
770,"5"
771,"8"
772,"7"
773,"6"
774,"9"
775,"9"
776,"6"
777,"5"
778,"6"
779,"3"
780,"10"
781,"3"
782,"8"
783,"5"
784,"9"
785,"4"
786,"6"
787,"6"
788,"6"
789,"11"
790,"2"
791,"5"
792,"5"
793,"9"
794,"7"
795,"7"
796,"8"
797,"2"
798,"5"
799,"11"
800,"4"
801,"7"
802,"2"
803,"4"
804,"1"
805,"7"
806,"3"
807,"4"
808,"4"
809,"9"
810,"6"
811,"5"
812,"8"
813,"8"
814,"4"
815,"4"
816,"7"
817,"6"
818,"7"
819,"6"
820,"4"
821,"3"
822,"5"
823,"5"
824,"9"
825,"9"
826,"5"
827,"4"
828,"3"
829,"5"
830,"4"
831,"5"
832,"4"
833,"4"
834,"6"
835,"5"
836,"6"
837,"4"
838,"3"
839,"4"
840,"6"
841,"4"
842,"4"
843,"7"
844,"6"
845,"4"
846,"4"
847,"4"
848,"2"
849,"4"
850,"5"
851,"3"
852,"7"
853,"3"
854,"5"
855,"2"
856,"6"
857,"4"
858,"3"
859,"3"
860,"5"
861,"3"
862,"3"
863,"2"
864,"4"
865,"5"
866,"4"
867,"1"
868,"1"
869,"11"
870,"5"
871,"3"
872,"1"
873,"1"
874,"5"
875,"1"
876,"2"
877,"7"
878,"6"
879,"1"
880,"7"
881,"3"
882,"1"
883,"2"
884,"2"
885,"2"
886,"1"
887,"5"
888,"4"
889,"1"
890,"1"
891,"1"
892,"2"
893,"2"
894,"3"
895,"4"
896,"0"
897,"4"
898,"0"
899,"2"
900,"3"
901,"1"
902,"2"
903,"3"
904,"2"
905,"2"
906,"6"
907,"2"
908,"2"
909,"4"
910,"3"
911,"2"
912,"4"
913,"5"
914,"2"
915,"4"
916,"2"
917,"2"
918,"3"
919,"1"
920,"1"
921,"1"
922,"1"
923,"6"
924,"0"
925,"1"
926,"1"
927,"3"
928,"2"
929,"0"
930,"1"
931,"1"
932,"0"
933,"0"
934,"1"
935,"2"
936,"1"
937,"4"
938,"4"
939,"1"
940,"3"
941,"3"
942,"2"
943,"0"
944,"2"
945,"3"
946,"2"
947,"0"
948,"0"
949,"1"
950,"1"
951,"0"
952,"3"
953,"0"
954,"3"
955,"1"
956,"1"
957,"1"
958,"0"
959,"1"
960,"2"
961,"1"
962,"0"
963,"0"
964,"1"
965,"0"
966,"0"
967,"1"
968,"1"
969,"1"
970,"1"
971,"2"
972,"0"
973,"2"
974,"1"
975,"0"
976,"2"
977,"0"
978,"3"
979,"0"
980,"2"
981,"1"
982,"1"
983,"0"
984,"1"
985,"1"
986,"0"
987,"1"
988,"0"
989,"1"
990,"1"
991,"1"
992,"1"
993,"1"
994,"1"
995,"2"
996,"0"
997,"1"
998,"0"
999,"1"
1000,"1"
1001,"0"
1002,"0"
1003,"3"
1004,"2"
1005,"0"
1006,"0"
1007,"2"
1008,"2"
1009,"0"
1010,"2"
1011,"2"
1012,"0"
1013,"1"
1014,"0"
1015,"0"
1016,"1"
1017,"0"
1018,"3"
1019,"0"
1020,"1"
1021,"1"
1022,"0"
1023,"0"
1024,"0"
1025,"1"
1026,"2"
1027,"1"
1028,"0"
1029,"1"
1030,"0"
1031,"0"
1032,"2"
1033,"0"
1034,"2"
1035,"1"
1036,"0"
1037,"0"
1038,"1"
1039,"0"
1040,"2"
1041,"1"
1042,"0"
1043,"0"
1044,"1"
1045,"0"
1046,"0"
1047,"0"
1048,"1"
1049,"0"
1050,"0"
1051,"0"
1052,"0"
1053,"0"
1054,"1"
1055,"0"
1056,"1"
1057,"0"
1058,"1"
1059,"0"
1060,"0"
1061,"0"
1062,"0"
1063,"0"
1064,"1"
1065,"0"
1066,"0"
1067,"0"
1068,"0"
1069,"0"
1070,"0"
1071,"0"
1072,"0"
1073,"1"
1074,"0"
1075,"0"
1076,"1"
1077,"0"
1078,"1"
1079,"2"
1080,"1"
1081,"1"
1082,"0"
1083,"2"
1084,"1"
1085,"0"
1086,"1"
1087,"2"
1088,"0"
1089,"0"
1090,"0"
1091,"0"
1092,"1"
1093,"0"
1094,"0"
1095,"0"
1096,"0"
