Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15W16-IVSD-MAJ"
Duration Time,180.151
Ambient Temperature,"106.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"5435776"
Raw Accumulated Counts,"5888006"
Valid Count Last Packet,"28646"
Raw Count Last Packet,"30927"
Live Time,166.238037
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8337
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5842"
1,"4680"
2,"2735"
3,"1290"
4,"443"
5,"97"
6,"21"
7,"2"
8,"0"
9,"1"
10,"1"
11,"0"
12,"0"
13,"2"
14,"1"
15,"0"
16,"1"
17,"0"
18,"3"
19,"0"
20,"1"
21,"0"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"1"
30,"0"
31,"17"
32,"96"
33,"290"
34,"388"
35,"500"
36,"484"
37,"539"
38,"566"
39,"516"
40,"527"
41,"574"
42,"562"
43,"571"
44,"610"
45,"670"
46,"734"
47,"751"
48,"764"
49,"762"
50,"693"
51,"707"
52,"713"
53,"725"
54,"717"
55,"771"
56,"797"
57,"729"
58,"778"
59,"763"
60,"787"
61,"805"
62,"776"
63,"834"
64,"822"
65,"754"
66,"721"
67,"727"
68,"706"
69,"768"
70,"800"
71,"967"
72,"1173"
73,"1443"
74,"1597"
75,"1763"
76,"1681"
77,"1411"
78,"1260"
79,"1071"
80,"1014"
81,"1256"
82,"1838"
83,"3213"
84,"6223"
85,"10321"
86,"14919"
87,"18274"
88,"18500"
89,"15683"
90,"11496"
91,"7520"
92,"4846"
93,"3369"
94,"3109"
95,"3518"
96,"4410"
97,"5354"
98,"5757"
99,"5442"
100,"4608"
101,"3453"
102,"2515"
103,"1906"
104,"1551"
105,"1291"
106,"1278"
107,"1261"
108,"1343"
109,"1451"
110,"1588"
111,"1911"
112,"2407"
113,"3065"
114,"3850"
115,"4697"
116,"5077"
117,"4851"
118,"4260"
119,"3563"
120,"2863"
121,"2588"
122,"2267"
123,"2076"
124,"2042"
125,"2125"
126,"2212"
127,"2289"
128,"2548"
129,"2828"
130,"3714"
131,"4931"
132,"6843"
133,"9197"
134,"11702"
135,"13345"
136,"13705"
137,"12886"
138,"11366"
139,"9592"
140,"8851"
141,"8782"
142,"9094"
143,"9227"
144,"8878"
145,"7938"
146,"7145"
147,"6075"
148,"5623"
149,"5061"
150,"4687"
151,"4229"
152,"3734"
153,"3335"
154,"2897"
155,"2752"
156,"2562"
157,"2587"
158,"2580"
159,"2663"
160,"2658"
161,"3030"
162,"3241"
163,"3718"
164,"4477"
165,"5189"
166,"6023"
167,"6610"
168,"6395"
169,"5721"
170,"5301"
171,"4553"
172,"4173"
173,"4078"
174,"4319"
175,"4703"
176,"5719"
177,"7398"
178,"11630"
179,"21075"
180,"41063"
181,"79904"
182,"143212"
183,"229611"
184,"324688"
185,"406883"
186,"442198"
187,"420735"
188,"348714"
189,"254222"
190,"162317"
191,"90088"
192,"45643"
193,"21649"
194,"11012"
195,"8194"
196,"9602"
197,"14307"
198,"22337"
199,"34033"
200,"46967"
201,"59206"
202,"65466"
203,"64507"
204,"56115"
205,"43093"
206,"29400"
207,"17731"
208,"9862"
209,"5117"
210,"2726"
211,"1601"
212,"1287"
213,"1060"
214,"1072"
215,"1052"
216,"1090"
217,"1180"
218,"1331"
219,"1567"
220,"2028"
221,"2605"
222,"3414"
223,"4402"
224,"5287"
225,"5867"
226,"6022"
227,"5423"
228,"4687"
229,"3776"
230,"2932"
231,"2284"
232,"1799"
233,"1699"
234,"1540"
235,"1544"
236,"1529"
237,"1641"
238,"1797"
239,"2205"
240,"2714"
241,"3221"
242,"3750"
243,"4114"
244,"4233"
245,"4086"
246,"3766"
247,"3310"
248,"3008"
249,"2649"
250,"2370"
251,"2125"
252,"1899"
253,"1760"
254,"1772"
255,"1779"
256,"1800"
257,"2076"
258,"2181"
259,"2416"
260,"2394"
261,"2493"
262,"2292"
263,"2132"
264,"2034"
265,"1780"
266,"1683"
267,"1743"
268,"1623"
269,"1670"
270,"1689"
271,"1742"
272,"1718"
273,"1791"
274,"1882"
275,"1912"
276,"2034"
277,"2060"
278,"2103"
279,"2116"
280,"2101"
281,"2064"
282,"1925"
283,"1871"
284,"1815"
285,"1831"
286,"1772"
287,"1799"
288,"1874"
289,"1924"
290,"2018"
291,"2243"
292,"2372"
293,"2603"
294,"2782"
295,"3088"
296,"3292"
297,"3515"
298,"3387"
299,"3283"
300,"3056"
301,"2776"
302,"2440"
303,"2317"
304,"2222"
305,"2127"
306,"2138"
307,"2038"
308,"2034"
309,"2187"
310,"2263"
311,"2287"
312,"2492"
313,"2800"
314,"3543"
315,"5073"
316,"7476"
317,"11673"
318,"17875"
319,"25613"
320,"34170"
321,"42443"
322,"47879"
323,"49291"
324,"45713"
325,"39172"
326,"30358"
327,"21935"
328,"14982"
329,"9478"
330,"5866"
331,"4196"
332,"3153"
333,"2599"
334,"2417"
335,"2296"
336,"2211"
337,"2298"
338,"2247"
339,"2247"
340,"2277"
341,"2433"
342,"2333"
343,"2439"
344,"2339"
345,"2534"
346,"2586"
347,"2723"
348,"3069"
349,"3383"
350,"4135"
351,"5069"
352,"6120"
353,"7432"
354,"8508"
355,"9322"
356,"9366"
357,"9133"
358,"8095"
359,"6873"
360,"5670"
361,"4344"
362,"3674"
363,"3013"
364,"2787"
365,"2577"
366,"2668"
367,"2612"
368,"2709"
369,"2880"
370,"3041"
371,"3180"
372,"3358"
373,"3499"
374,"3517"
375,"3688"
376,"3443"
377,"3427"
378,"3215"
379,"2985"
380,"2707"
381,"2548"
382,"2315"
383,"2284"
384,"2159"
385,"2148"
386,"2165"
387,"2205"
388,"2240"
389,"2220"
390,"2179"
391,"2152"
392,"2082"
393,"2111"
394,"2031"
395,"1986"
396,"1952"
397,"2012"
398,"1899"
399,"1984"
400,"1964"
401,"1983"
402,"2015"
403,"2018"
404,"2001"
405,"2079"
406,"1939"
407,"2074"
408,"2008"
409,"1979"
410,"1921"
411,"1961"
412,"1927"
413,"1926"
414,"1975"
415,"1920"
416,"1893"
417,"1836"
418,"1918"
419,"1857"
420,"1824"
421,"1865"
422,"1845"
423,"1798"
424,"1818"
425,"1834"
426,"1857"
427,"1770"
428,"1838"
429,"1927"
430,"1911"
431,"1860"
432,"2046"
433,"2036"
434,"1993"
435,"1990"
436,"2038"
437,"2064"
438,"1968"
439,"2082"
440,"1992"
441,"1884"
442,"1908"
443,"1947"
444,"1906"
445,"1893"
446,"1814"
447,"1878"
448,"1770"
449,"1873"
450,"1853"
451,"1901"
452,"1855"
453,"1843"
454,"1896"
455,"1862"
456,"1797"
457,"1914"
458,"1900"
459,"1960"
460,"1877"
461,"1926"
462,"1818"
463,"1889"
464,"1893"
465,"1905"
466,"1948"
467,"1840"
468,"1912"
469,"1860"
470,"1801"
471,"1876"
472,"1828"
473,"1978"
474,"1759"
475,"1875"
476,"1825"
477,"1825"
478,"1830"
479,"1878"
480,"1766"
481,"1859"
482,"1786"
483,"1909"
484,"1926"
485,"1917"
486,"1856"
487,"1795"
488,"1786"
489,"1776"
490,"1787"
491,"1827"
492,"1732"
493,"1742"
494,"1795"
495,"1736"
496,"1765"
497,"1771"
498,"1740"
499,"1754"
500,"1728"
501,"1717"
502,"1789"
503,"1751"
504,"1813"
505,"1763"
506,"1847"
507,"1816"
508,"1841"
509,"1852"
510,"1826"
511,"1706"
512,"1787"
513,"1788"
514,"1785"
515,"1765"
516,"1815"
517,"1722"
518,"1713"
519,"1688"
520,"1686"
521,"1694"
522,"1629"
523,"1624"
524,"1613"
525,"1643"
526,"1675"
527,"1626"
528,"1633"
529,"1582"
530,"1556"
531,"1693"
532,"1642"
533,"1615"
534,"1554"
535,"1541"
536,"1614"
537,"1598"
538,"1646"
539,"1579"
540,"1609"
541,"1586"
542,"1557"
543,"1493"
544,"1529"
545,"1577"
546,"1495"
547,"1487"
548,"1574"
549,"1490"
550,"1452"
551,"1490"
552,"1520"
553,"1469"
554,"1533"
555,"1482"
556,"1441"
557,"1487"
558,"1408"
559,"1423"
560,"1423"
561,"1349"
562,"1433"
563,"1451"
564,"1452"
565,"1419"
566,"1371"
567,"1389"
568,"1428"
569,"1368"
570,"1393"
571,"1393"
572,"1306"
573,"1317"
574,"1276"
575,"1292"
576,"1328"
577,"1260"
578,"1285"
579,"1334"
580,"1349"
581,"1216"
582,"1275"
583,"1226"
584,"1245"
585,"1266"
586,"1304"
587,"1229"
588,"1197"
589,"1259"
590,"1200"
591,"1273"
592,"1234"
593,"1307"
594,"1167"
595,"1209"
596,"1255"
597,"1193"
598,"1259"
599,"1192"
600,"1131"
601,"1180"
602,"1169"
603,"1181"
604,"1165"
605,"1191"
606,"1169"
607,"1141"
608,"1116"
609,"1160"
610,"1116"
611,"1069"
612,"1095"
613,"1012"
614,"1082"
615,"1065"
616,"1043"
617,"1010"
618,"1064"
619,"999"
620,"996"
621,"986"
622,"1043"
623,"1040"
624,"1047"
625,"1031"
626,"1012"
627,"965"
628,"973"
629,"908"
630,"953"
631,"915"
632,"954"
633,"927"
634,"934"
635,"886"
636,"918"
637,"944"
638,"852"
639,"925"
640,"860"
641,"983"
642,"847"
643,"903"
644,"803"
645,"903"
646,"840"
647,"784"
648,"793"
649,"795"
650,"811"
651,"837"
652,"810"
653,"731"
654,"743"
655,"786"
656,"754"
657,"723"
658,"748"
659,"746"
660,"728"
661,"698"
662,"683"
663,"707"
664,"689"
665,"702"
666,"638"
667,"610"
668,"631"
669,"639"
670,"626"
671,"603"
672,"560"
673,"592"
674,"615"
675,"589"
676,"583"
677,"586"
678,"530"
679,"551"
680,"544"
681,"472"
682,"497"
683,"527"
684,"502"
685,"517"
686,"494"
687,"462"
688,"417"
689,"429"
690,"435"
691,"471"
692,"428"
693,"456"
694,"413"
695,"405"
696,"434"
697,"386"
698,"389"
699,"393"
700,"359"
701,"341"
702,"330"
703,"339"
704,"355"
705,"319"
706,"319"
707,"311"
708,"268"
709,"268"
710,"281"
711,"232"
712,"231"
713,"254"
714,"239"
715,"213"
716,"206"
717,"237"
718,"211"
719,"204"
720,"170"
721,"162"
722,"206"
723,"178"
724,"153"
725,"166"
726,"144"
727,"142"
728,"136"
729,"146"
730,"115"
731,"101"
732,"98"
733,"113"
734,"90"
735,"103"
736,"109"
737,"84"
738,"89"
739,"79"
740,"71"
741,"87"
742,"64"
743,"50"
744,"63"
745,"57"
746,"59"
747,"46"
748,"42"
749,"31"
750,"30"
751,"16"
752,"37"
753,"20"
754,"22"
755,"9"
756,"19"
757,"7"
758,"6"
759,"8"
760,"6"
761,"9"
762,"8"
763,"7"
764,"13"
765,"7"
766,"9"
767,"12"
768,"6"
769,"6"
770,"10"
771,"6"
772,"8"
773,"5"
774,"8"
775,"8"
776,"5"
777,"6"
778,"3"
779,"11"
780,"4"
781,"9"
782,"7"
783,"6"
784,"9"
785,"12"
786,"12"
787,"5"
788,"7"
789,"7"
790,"5"
791,"11"
792,"3"
793,"10"
794,"6"
795,"5"
796,"4"
797,"11"
798,"8"
799,"4"
800,"15"
801,"9"
802,"8"
803,"7"
804,"4"
805,"9"
806,"3"
807,"4"
808,"12"
809,"7"
810,"9"
811,"5"
812,"7"
813,"3"
814,"4"
815,"8"
816,"4"
817,"3"
818,"2"
819,"3"
820,"4"
821,"7"
822,"6"
823,"5"
824,"6"
825,"4"
826,"5"
827,"3"
828,"2"
829,"8"
830,"3"
831,"4"
832,"5"
833,"8"
834,"4"
835,"11"
836,"7"
837,"3"
838,"3"
839,"1"
840,"9"
841,"5"
842,"2"
843,"3"
844,"1"
845,"6"
846,"8"
847,"6"
848,"3"
849,"2"
850,"3"
851,"1"
852,"8"
853,"3"
854,"3"
855,"3"
856,"4"
857,"3"
858,"4"
859,"5"
860,"8"
861,"4"
862,"2"
863,"6"
864,"2"
865,"3"
866,"5"
867,"1"
868,"1"
869,"1"
870,"1"
871,"3"
872,"3"
873,"7"
874,"3"
875,"4"
876,"2"
877,"5"
878,"5"
879,"7"
880,"5"
881,"4"
882,"3"
883,"3"
884,"6"
885,"1"
886,"5"
887,"1"
888,"0"
889,"3"
890,"1"
891,"1"
892,"6"
893,"3"
894,"1"
895,"3"
896,"0"
897,"1"
898,"3"
899,"4"
900,"0"
901,"1"
902,"0"
903,"2"
904,"4"
905,"2"
906,"1"
907,"3"
908,"0"
909,"2"
910,"1"
911,"1"
912,"2"
913,"0"
914,"0"
915,"1"
916,"0"
917,"3"
918,"2"
919,"2"
920,"1"
921,"2"
922,"0"
923,"2"
924,"2"
925,"1"
926,"2"
927,"0"
928,"3"
929,"1"
930,"2"
931,"2"
932,"1"
933,"2"
934,"1"
935,"0"
936,"3"
937,"3"
938,"0"
939,"1"
940,"0"
941,"1"
942,"0"
943,"2"
944,"0"
945,"0"
946,"1"
947,"0"
948,"1"
949,"0"
950,"0"
951,"0"
952,"0"
953,"1"
954,"3"
955,"0"
956,"0"
957,"2"
958,"1"
959,"2"
960,"0"
961,"0"
962,"1"
963,"2"
964,"1"
965,"2"
966,"1"
967,"2"
968,"4"
969,"0"
970,"1"
971,"1"
972,"1"
973,"0"
974,"1"
975,"0"
976,"0"
977,"0"
978,"2"
979,"3"
980,"2"
981,"1"
982,"0"
983,"0"
984,"0"
985,"2"
986,"2"
987,"2"
988,"1"
989,"0"
990,"0"
991,"2"
992,"0"
993,"2"
994,"1"
995,"1"
996,"0"
