Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15BL-1-67-IVSD-MAJ"
Duration Time,180.103
Ambient Temperature,"105.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"5105135"
Raw Accumulated Counts,"5503472"
Valid Count Last Packet,"26639"
Raw Count Last Packet,"28801"
Live Time,166.963058
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8364
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5916"
1,"4530"
2,"2711"
3,"1305"
4,"435"
5,"97"
6,"24"
7,"5"
8,"0"
9,"3"
10,"1"
11,"2"
12,"2"
13,"0"
14,"0"
15,"1"
16,"1"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"1"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"10"
32,"98"
33,"251"
34,"415"
35,"460"
36,"437"
37,"476"
38,"455"
39,"461"
40,"479"
41,"532"
42,"540"
43,"513"
44,"577"
45,"604"
46,"655"
47,"650"
48,"667"
49,"726"
50,"608"
51,"659"
52,"653"
53,"588"
54,"622"
55,"715"
56,"705"
57,"671"
58,"638"
59,"670"
60,"740"
61,"859"
62,"876"
63,"899"
64,"906"
65,"823"
66,"769"
67,"727"
68,"693"
69,"748"
70,"911"
71,"1194"
72,"1690"
73,"2227"
74,"2740"
75,"2879"
76,"2666"
77,"2168"
78,"1640"
79,"1306"
80,"1116"
81,"1256"
82,"1911"
83,"3810"
84,"7041"
85,"12202"
86,"17889"
87,"21515"
88,"22145"
89,"18894"
90,"13695"
91,"8848"
92,"5277"
93,"3493"
94,"2857"
95,"2989"
96,"3616"
97,"4223"
98,"4519"
99,"4362"
100,"3800"
101,"3088"
102,"2372"
103,"1897"
104,"1422"
105,"1283"
106,"1121"
107,"1133"
108,"1154"
109,"1228"
110,"1446"
111,"1715"
112,"2261"
113,"3232"
114,"4110"
115,"5073"
116,"5517"
117,"5296"
118,"4488"
119,"3538"
120,"2793"
121,"2360"
122,"2062"
123,"1926"
124,"1943"
125,"1941"
126,"1893"
127,"2083"
128,"2241"
129,"2503"
130,"3299"
131,"4416"
132,"6321"
133,"8708"
134,"11193"
135,"13157"
136,"13564"
137,"12582"
138,"11272"
139,"9294"
140,"8490"
141,"8603"
142,"8879"
143,"9177"
144,"8488"
145,"7701"
146,"6533"
147,"5898"
148,"5204"
149,"4631"
150,"4252"
151,"3728"
152,"3307"
153,"2803"
154,"2492"
155,"2285"
156,"2182"
157,"2103"
158,"2170"
159,"2245"
160,"2412"
161,"2633"
162,"3294"
163,"4103"
164,"5515"
165,"7090"
166,"8429"
167,"9055"
168,"8879"
169,"7679"
170,"6134"
171,"4878"
172,"3908"
173,"3506"
174,"3449"
175,"3676"
176,"4385"
177,"5726"
178,"8928"
179,"15831"
180,"30516"
181,"58659"
182,"104161"
183,"167392"
184,"236445"
185,"293024"
186,"318094"
187,"302470"
188,"251142"
189,"181470"
190,"115635"
191,"65079"
192,"32607"
193,"15676"
194,"8088"
195,"6129"
196,"6927"
197,"10484"
198,"16641"
199,"24832"
200,"34463"
201,"43262"
202,"48004"
203,"47353"
204,"40737"
205,"31692"
206,"21782"
207,"13600"
208,"7325"
209,"4118"
210,"2241"
211,"1451"
212,"1226"
213,"1151"
214,"1009"
215,"1109"
216,"1070"
217,"1098"
218,"1076"
219,"1247"
220,"1235"
221,"1416"
222,"1606"
223,"2087"
224,"2589"
225,"3114"
226,"3706"
227,"3998"
228,"3846"
229,"3585"
230,"3295"
231,"2701"
232,"2272"
233,"2037"
234,"1941"
235,"1902"
236,"1765"
237,"1712"
238,"1593"
239,"1442"
240,"1495"
241,"1482"
242,"1548"
243,"1591"
244,"1716"
245,"1796"
246,"1848"
247,"2025"
248,"2107"
249,"2041"
250,"2102"
251,"1976"
252,"1931"
253,"1767"
254,"1713"
255,"1673"
256,"1671"
257,"1668"
258,"1693"
259,"1724"
260,"1698"
261,"1697"
262,"1790"
263,"1709"
264,"1776"
265,"1906"
266,"1810"
267,"1951"
268,"1938"
269,"2038"
270,"2216"
271,"2268"
272,"2300"
273,"2353"
274,"2386"
275,"2202"
276,"2130"
277,"1994"
278,"1928"
279,"1864"
280,"1934"
