Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15LEP-81-IVSD-MAJ"
Duration Time,180.341
Ambient Temperature,"106.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"4950060"
Raw Accumulated Counts,"5322362"
Valid Count Last Packet,"25945"
Raw Count Last Packet,"27977"
Live Time,167.655991
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8352
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5866"
1,"4547"
2,"2776"
3,"1286"
4,"463"
5,"111"
6,"23"
7,"3"
8,"0"
9,"3"
10,"2"
11,"1"
12,"0"
13,"1"
14,"1"
15,"2"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"1"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"1"
28,"0"
29,"1"
30,"0"
31,"10"
32,"118"
33,"299"
34,"397"
35,"463"
36,"492"
37,"522"
38,"516"
39,"510"
40,"507"
41,"509"
42,"534"
43,"557"
44,"579"
45,"633"
46,"703"
47,"715"
48,"774"
49,"666"
50,"666"
51,"668"
52,"645"
53,"726"
54,"757"
55,"789"
56,"688"
57,"751"
58,"736"
59,"707"
60,"727"
61,"707"
62,"706"
63,"746"
64,"766"
65,"738"
66,"729"
67,"733"
68,"767"
69,"794"
70,"946"
71,"1371"
72,"1953"
73,"2628"
74,"3062"
75,"3345"
76,"3066"
77,"2478"
78,"1888"
79,"1486"
80,"1202"
81,"1420"
82,"2047"
83,"3760"
84,"7242"
85,"12178"
86,"17577"
87,"21721"
88,"22290"
89,"18789"
90,"13611"
91,"8817"
92,"5304"
93,"3571"
94,"3131"
95,"3338"
96,"3917"
97,"4687"
98,"5182"
99,"4889"
100,"4331"
101,"3360"
102,"2553"
103,"1960"
104,"1513"
105,"1402"
106,"1354"
107,"1332"
108,"1399"
109,"1590"
110,"1917"
111,"2607"
112,"3893"
113,"5520"
114,"7930"
115,"9999"
116,"11102"
117,"10716"
118,"8642"
119,"6715"
120,"4685"
121,"3331"
122,"2775"
123,"2629"
124,"2563"
125,"2488"
126,"2366"
127,"2218"
128,"2345"
129,"2641"
130,"3396"
131,"4536"
132,"6514"
133,"8875"
134,"11342"
135,"13152"
136,"13820"
137,"12902"
138,"10991"
139,"9606"
140,"8565"
141,"8522"
142,"9016"
143,"9107"
144,"8778"
145,"7926"
146,"6863"
147,"6011"
148,"5476"
149,"4883"
150,"4502"
151,"3877"
152,"3488"
153,"3028"
154,"2798"
155,"2439"
156,"2319"
157,"2318"
158,"2281"
159,"2504"
160,"2631"
161,"3179"
162,"3852"
163,"5204"
164,"7250"
165,"9429"
166,"11193"
167,"12087"
168,"11353"
169,"9962"
170,"7896"
171,"5946"
172,"4728"
173,"4049"
174,"3964"
175,"4258"
176,"5082"
177,"6712"
178,"10395"
179,"18528"
180,"35686"
181,"68492"
182,"121522"
183,"194966"
184,"274097"
185,"342538"
186,"371517"
187,"352824"
188,"292620"
189,"212265"
190,"135469"
191,"76070"
192,"38478"
193,"17975"
194,"9478"
195,"6816"
196,"7865"
197,"11977"
198,"18742"
199,"28628"
200,"40189"
201,"50022"
202,"55558"
203,"54382"
