Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15BL-1-122-IVSD-MAJ"
Duration Time,180.517
Ambient Temperature,"104.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"3399004"
Raw Accumulated Counts,"3572109"
Valid Count Last Packet,"17708"
Raw Count Last Packet,"18659"
Live Time,171.867020
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8374
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5945"
1,"4731"
2,"2843"
3,"1289"
4,"436"
5,"95"
6,"17"
7,"3"
8,"2"
9,"0"
10,"3"
11,"1"
12,"0"
13,"1"
14,"1"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"1"
21,"0"
22,"0"
23,"0"
24,"1"
25,"0"
26,"1"
27,"1"
28,"0"
29,"1"
30,"0"
31,"8"
32,"81"
33,"205"
34,"271"
35,"355"
36,"360"
37,"390"
38,"356"
39,"331"
40,"361"
41,"346"
42,"388"
43,"423"
44,"405"
45,"468"
46,"470"
47,"554"
48,"556"
49,"543"
50,"509"
51,"497"
52,"539"
53,"505"
54,"526"
55,"555"
56,"527"
57,"535"
58,"516"
59,"529"
60,"547"
61,"559"
62,"566"
63,"620"
64,"606"
65,"576"
66,"622"
67,"571"
68,"576"
69,"723"
70,"1028"
71,"1496"
72,"2547"
73,"3625"
74,"4607"
75,"4829"
76,"4383"
77,"3448"
78,"2459"
79,"1802"
80,"1658"
81,"1915"
82,"3493"
83,"7182"
84,"14809"
85,"25824"
86,"38625"
87,"47330"
88,"48469"
89,"40578"
90,"28858"
91,"18014"
92,"9990"
93,"5510"
94,"3296"
95,"2364"
96,"1988"
97,"2028"
98,"2524"
99,"2905"
100,"3362"
101,"3349"
102,"3202"
103,"2604"
104,"2103"
105,"1523"
106,"1158"
107,"1032"
108,"981"
109,"1053"
110,"1277"
111,"1726"
112,"2498"
113,"3872"
114,"5499"
115,"7140"
116,"7795"
117,"7633"
118,"6532"
119,"4728"
120,"3374"
121,"2398"
122,"1892"
123,"1738"
124,"1723"
125,"1644"
126,"1639"
127,"1628"
128,"1730"
129,"2100"
130,"2727"
131,"3913"
132,"5719"
133,"8191"
134,"10563"
135,"12558"
136,"13343"
137,"12250"
138,"10680"
139,"8876"
140,"8044"
141,"7846"
142,"8146"
143,"8133"
144,"7681"
145,"6846"
146,"5880"
147,"4931"
148,"4309"
149,"3945"
150,"3433"
151,"3005"
152,"2384"
153,"1976"
154,"1614"
155,"1353"
156,"1289"
157,"1273"
158,"1306"
159,"1394"
160,"1616"
161,"2145"
162,"3170"
163,"4991"
164,"7595"
165,"10546"
166,"13002"
167,"14187"
168,"13506"
169,"11013"
170,"8187"
171,"5407"
172,"3460"
173,"2375"
174,"1760"
175,"1728"
176,"2030"
177,"2458"
178,"3677"
179,"5722"
180,"10042"
181,"17299"
182,"29091"
183,"45255"
184,"62676"
185,"77682"
186,"83898"
187,"79612"
188,"66187"
189,"47819"
190,"30498"
191,"17405"
192,"8996"
193,"4639"
194,"2731"
195,"2167"
196,"2507"
197,"3470"
198,"5135"
199,"7487"
200,"9898"
201,"12138"
202,"13524"
