Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15LEP-49-IVSD-MAJ"
Duration Time,180.145
Ambient Temperature,"105.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"6050186"
Raw Accumulated Counts,"6614015"
Valid Count Last Packet,"31477"
Raw Count Last Packet,"34458"
Live Time,164.658951
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.835
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5794"
1,"4541"
2,"2752"
3,"1293"
4,"463"
5,"102"
6,"19"
7,"4"
8,"2"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"1"
15,"0"
16,"1"
17,"2"
18,"1"
19,"2"
20,"1"
21,"1"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"3"
31,"24"
32,"125"
33,"342"
34,"476"
35,"582"
36,"625"
37,"614"
38,"566"
39,"609"
40,"617"
41,"608"
42,"629"
43,"658"
44,"682"
45,"726"
46,"818"
47,"788"
48,"856"
49,"842"
50,"756"
51,"798"
52,"799"
53,"816"
54,"790"
55,"891"
56,"880"
57,"824"
58,"798"
59,"790"
60,"805"
61,"855"
62,"875"
63,"835"
64,"786"
65,"816"
66,"788"
67,"788"
68,"796"
69,"840"
70,"868"
71,"1055"
72,"1317"
73,"1642"
74,"1886"
75,"1983"
76,"1833"
77,"1605"
78,"1303"
79,"1104"
80,"1044"
81,"1108"
82,"1385"
83,"2039"
84,"3368"
85,"5221"
86,"7459"
87,"8952"
88,"9176"
89,"7969"
90,"6046"
91,"4285"
92,"3163"
93,"2756"
94,"3236"
95,"4281"
96,"5439"
97,"6820"
98,"7227"
99,"7078"
100,"5759"
101,"4287"
102,"3149"
103,"2224"
104,"1678"
105,"1508"
106,"1477"
107,"1544"
108,"1608"
109,"1767"
110,"1964"
111,"2349"
112,"2963"
113,"3781"
114,"4902"
115,"5683"
116,"6030"
117,"5901"
118,"5143"
119,"4320"
120,"3539"
121,"2954"
122,"2647"
123,"2491"
124,"2429"
125,"2454"
126,"2520"
127,"2509"
128,"2649"
129,"3003"
130,"3637"
131,"4824"
132,"6798"
133,"9033"
134,"11322"
135,"13216"
136,"14028"
137,"13156"
138,"11300"
139,"9762"
140,"8951"
141,"8866"
142,"9180"
143,"9373"
144,"9081"
145,"8150"
146,"7270"
147,"6432"
148,"5859"
149,"5531"
150,"5033"
151,"4732"
152,"4182"
153,"3744"
154,"3333"
155,"3008"
156,"3080"
157,"3073"
158,"3025"
159,"3204"
160,"3240"
161,"3403"
162,"3671"
163,"4005"
164,"4472"
165,"5064"
166,"5699"
167,"6132"
168,"5961"
169,"5698"
170,"5324"
171,"4881"
172,"4730"
173,"4986"
174,"5369"
175,"6005"
176,"7246"
177,"9407"
178,"14979"
179,"26847"
180,"54056"
181,"104685"
182,"187702"
183,"301297"
184,"426684"
185,"532222"
186,"579015"
187,"548965"
188,"456613"
189,"330803"
190,"210347"
191,"117175"
192,"58700"
193,"27699"
194,"14098"
195,"10043"
196,"11827"
197,"17889"
198,"28708"
199,"43608"
200,"60898"
201,"76274"
202,"84890"
203,"83192"
204,"72024"
205,"55056"
206,"37534"
207,"22351"
208,"12016"
209,"6082"
210,"3060"
211,"1709"
212,"1179"
213,"942"
214,"984"
215,"891"
216,"996"
217,"903"
218,"972"
219,"974"
220,"1056"
221,"1054"
222,"1122"
223,"1214"
224,"1485"
225,"1537"
226,"1764"
227,"1765"
228,"1797"
229,"1756"
230,"1664"
231,"1475"
232,"1410"
233,"1208"
234,"1196"
235,"1268"
236,"1250"
237,"1210"
238,"1205"
239,"1206"
240,"1236"
241,"1257"
