Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15RTC-W-50-IVSD-MAJ"
Duration Time,180.725
Ambient Temperature,"104.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"2520038"
Raw Accumulated Counts,"2614815"
Valid Count Last Packet,"13160"
Raw Count Last Packet,"13715"
Live Time,174.505051
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8363
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"6135"
1,"4701"
2,"2806"
3,"1291"
4,"498"
5,"85"
6,"17"
7,"5"
8,"2"
9,"1"
10,"0"
11,"1"
12,"1"
13,"0"
14,"0"
15,"2"
16,"1"
17,"0"
18,"0"
19,"1"
20,"0"
21,"0"
22,"1"
23,"0"
24,"1"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"9"
32,"62"
33,"178"
34,"247"
35,"278"
36,"314"
37,"293"
38,"302"
39,"286"
40,"251"
41,"310"
42,"322"
43,"324"
44,"361"
45,"392"
46,"406"
47,"484"
48,"522"
49,"484"
50,"434"
51,"396"
52,"434"
53,"429"
54,"428"
55,"464"
56,"437"
57,"422"
58,"375"
59,"385"
60,"431"
61,"392"
62,"449"
63,"456"
64,"427"
65,"478"
66,"443"
67,"457"
68,"465"
69,"587"
70,"676"
71,"1000"
72,"1371"
73,"1799"
74,"2355"
75,"2422"
76,"2364"
77,"2016"
78,"1607"
79,"1386"
80,"1518"
81,"2175"
82,"4522"
83,"10341"
84,"21091"
85,"38252"
86,"56446"
87,"69433"
88,"70695"
89,"60053"
90,"42455"
91,"26471"
92,"14375"
93,"7441"
94,"3838"
95,"2175"
96,"1292"
97,"872"
98,"672"
99,"603"
100,"611"
101,"628"
102,"638"
103,"652"
104,"599"
105,"595"
106,"549"
107,"562"
108,"629"
109,"704"
110,"888"
111,"1285"
112,"1896"
113,"3191"
114,"4506"
115,"6058"
116,"6728"
117,"6792"
118,"5515"
119,"3985"
120,"2768"
121,"1922"
122,"1526"
123,"1335"
124,"1320"
125,"1331"
126,"1312"
127,"1272"
128,"1468"
129,"1690"
130,"2439"
131,"3425"
132,"5134"
133,"7461"
134,"9685"
135,"11612"
136,"12097"
137,"11427"
138,"9911"
139,"8066"
140,"7249"
141,"7074"
142,"7419"
143,"7468"
144,"7043"
145,"6306"
146,"5402"
147,"4520"
148,"3979"
149,"3499"
150,"3015"
151,"2585"
152,"2167"
153,"1626"
154,"1259"
155,"1025"
156,"869"
157,"808"
158,"878"
159,"919"
160,"973"
161,"1213"
162,"1819"
163,"2797"
164,"4111"
165,"5790"
166,"7179"
167,"7821"
168,"7261"
169,"6123"
170,"4514"
171,"3019"
172,"1873"
173,"1188"
174,"912"
175,"757"
176,"818"
177,"886"
178,"1092"
179,"1402"
180,"1589"
181,"1816"
182,"1915"
183,"1975"
184,"2000"
185,"2018"
186,"2004"
187,"1853"
188,"1614"
189,"1374"
190,"1071"
191,"954"
192,"840"
193,"734"
194,"750"
195,"826"
196,"892"
197,"885"
198,"952"
199,"964"
200,"1064"
201,"1107"
202,"1192"
203,"1141"
204,"1151"
205,"1069"
206,"1008"
207,"1050"
208,"1005"
209,"1041"
210,"1052"
211,"1019"
212,"1031"
213,"1025"
214,"1116"
215,"1115"
216,"1126"
217,"1231"
218,"1252"
219,"1265"
220,"1494"
221,"1790"
222,"2246"
223,"2804"
224,"3857"
225,"4328"
226,"4932"
227,"5230"
228,"5002"
229,"4433"
230,"3596"
231,"3060"
232,"2432"
233,"2043"
234,"1813"
235,"1768"
236,"1679"
237,"1636"
238,"1634"
239,"1746"
240,"1897"
241,"2011"
242,"2191"
243,"2411"
244,"2514"
245,"2677"
246,"2915"
247,"3131"
248,"3206"
249,"3294"
250,"3162"
251,"3058"
252,"2750"
253,"2619"
254,"2363"
255,"2205"
256,"2077"
257,"2124"
258,"2112"
259,"2241"
260,"2277"
261,"2273"
262,"2227"
263,"2386"
264,"2238"
265,"2273"
266,"2350"
267,"2311"
268,"2354"
269,"2526"
270,"2560"
271,"2706"
272,"2740"
273,"2793"
274,"2799"
275,"2714"
276,"2651"
277,"2604"
278,"2579"
279,"2492"
280,"2553"
281,"2529"
282,"2493"
283,"2469"
284,"2502"
285,"2580"
286,"2417"
287,"2456"
288,"2572"
289,"2638"
290,"2595"
291,"2714"
292,"2762"
293,"2850"
294,"2842"
295,"2965"
296,"2950"
297,"3076"
298,"2926"
299,"2920"
300,"3011"
301,"3008"
302,"2890"
303,"2910"
304,"2900"
305,"2940"
306,"2920"
307,"2840"
308,"2953"
309,"3028"
310,"3117"
311,"3163"
312,"3393"
313,"3889"
314,"4730"
315,"6496"
316,"9585"
317,"14758"
318,"22557"
319,"32613"
320,"43692"
321,"53748"
322,"59919"
323,"61571"
324,"57548"
325,"48818"
326,"38246"
327,"27223"
328,"18468"
329,"11865"
330,"7545"
331,"5153"
332,"3918"
333,"3395"
334,"2964"
335,"2899"
336,"2952"
337,"2874"
338,"2933"
339,"2963"
340,"2940"
341,"3029"
342,"3017"
343,"3041"
344,"3165"
345,"3085"
346,"3340"
347,"3573"
348,"3852"
349,"4423"
350,"5298"
351,"6457"
352,"7784"
353,"9407"
354,"10915"
355,"11921"
356,"11802"
357,"11640"
358,"10398"
359,"8629"
360,"6980"
361,"5728"
362,"4708"
363,"3786"
364,"3451"
365,"3197"
366,"3224"
367,"3113"
368,"3172"
369,"3192"
370,"3335"
371,"3461"
372,"3569"
373,"4055"
374,"4280"
375,"4514"
376,"4785"
377,"4713"
378,"4564"
379,"4339"
380,"4012"
381,"3620"
382,"3337"
383,"3105"
384,"2923"
385,"2846"
386,"2837"
387,"2675"
388,"2586"
389,"2680"
390,"2678"
391,"2696"
392,"2722"
393,"2608"
394,"2648"
395,"2601"
396,"2581"
397,"2757"
398,"2670"
399,"2718"
400,"2771"
401,"2842"
402,"2909"
403,"2852"
404,"2925"
405,"2941"
406,"3037"
407,"3059"
408,"3013"
409,"3003"
410,"2927"
411,"2884"
412,"2828"
413,"2926"
414,"2924"
415,"3030"
416,"2909"
417,"2838"
418,"2960"
419,"2989"
420,"2898"
421,"2861"
422,"2755"
423,"2738"
424,"2802"
425,"2719"
426,"2738"
427,"2688"
428,"2778"
429,"2958"
430,"3021"
431,"3287"
432,"3429"
433,"3499"
434,"3815"
435,"3955"
436,"3845"
437,"3875"
438,"3612"
439,"3401"
440,"3252"
441,"3049"
442,"2907"
443,"2912"
444,"2873"
445,"2763"
446,"2749"
447,"2821"
448,"2740"
449,"2767"
450,"2875"
451,"2776"
452,"2745"
453,"2804"
454,"2790"
455,"2673"
456,"2787"
457,"2853"
458,"2726"
459,"2834"
460,"2692"
461,"2773"
462,"2700"
463,"2835"
464,"2727"
465,"2763"
466,"2804"
467,"2782"
468,"2859"
469,"2821"
470,"2746"
471,"2721"
472,"2802"
473,"2838"
474,"2807"
475,"2790"
476,"2727"
477,"2816"
478,"2768"
479,"2809"
480,"2889"
481,"2936"
482,"2959"
483,"2874"
484,"2766"
485,"2905"
486,"2862"
487,"2744"
488,"2868"
489,"2664"
490,"2718"
491,"2844"
492,"2691"
493,"2673"
494,"2666"
495,"2671"
496,"2693"
497,"2734"
498,"2719"
499,"2721"
500,"2683"
501,"2717"
502,"2755"
503,"2678"
504,"2642"
505,"2682"
506,"2671"
507,"2604"
508,"2622"
509,"2700"
510,"2658"
511,"2634"
512,"2637"
513,"2578"
514,"2589"
515,"2453"
516,"2516"
517,"2591"
518,"2442"
519,"2469"
520,"2561"
521,"2575"
522,"2588"
523,"2572"
524,"2511"
525,"2418"
526,"2494"
527,"2431"
528,"2473"
529,"2507"
530,"2565"
531,"2538"
532,"2476"
533,"2400"
534,"2357"
535,"2471"
536,"2523"
537,"2309"
538,"2310"
539,"2366"
540,"2328"
541,"2310"
542,"2268"
543,"2280"
544,"2332"
545,"2314"
546,"2212"
547,"2222"
548,"2277"
549,"2187"
550,"2157"
551,"2323"
552,"2200"
553,"2206"
554,"2117"
555,"2173"
556,"2091"
557,"2078"
558,"2140"
559,"2078"
560,"2083"
561,"2069"
562,"2076"
563,"2071"
564,"2062"
565,"2088"
566,"1994"
567,"2012"
568,"1988"
569,"2041"
570,"2034"
571,"1991"
572,"1952"
573,"2028"
574,"1948"
575,"1946"
576,"1885"
577,"1924"
578,"1932"
579,"1928"
580,"1812"
581,"1830"
582,"1854"
583,"1839"
584,"1827"
585,"1789"
586,"1787"
587,"1827"
588,"1841"
589,"1864"
590,"1812"
591,"1795"
592,"1774"
593,"1812"
594,"1679"
595,"1694"
596,"1718"
597,"1820"
598,"1622"
599,"1675"
600,"1703"
601,"1681"
602,"1606"
603,"1636"
604,"1675"
605,"1584"
606,"1639"
607,"1622"
608,"1596"
609,"1660"
610,"1586"
611,"1561"
612,"1534"
613,"1475"
614,"1615"
615,"1576"
616,"1533"
617,"1556"
618,"1533"
619,"1465"
620,"1426"
621,"1442"
622,"1424"
623,"1497"
624,"1414"
625,"1390"
626,"1358"
627,"1389"
628,"1300"
629,"1370"
630,"1392"
631,"1345"
632,"1337"
633,"1371"
634,"1352"
635,"1301"
636,"1340"
637,"1328"
638,"1301"
639,"1282"
640,"1261"
641,"1238"
642,"1293"
643,"1210"
644,"1194"
645,"1179"
646,"1191"
647,"1203"
648,"1130"
649,"1223"
650,"1145"
651,"1090"
652,"1073"
653,"1120"
654,"1064"
655,"1054"
656,"1032"
657,"1039"
658,"1027"
659,"978"
660,"1048"
661,"1035"
662,"962"
663,"1048"
664,"942"
665,"908"
666,"959"
667,"897"
668,"938"
669,"919"
670,"971"
671,"902"
672,"854"
673,"818"
674,"857"
675,"825"
676,"811"
677,"812"
678,"840"
679,"781"
680,"754"
681,"766"
682,"747"
683,"733"
684,"729"
685,"704"
686,"697"
687,"637"
688,"646"
689,"667"
690,"659"
691,"613"
692,"609"
693,"551"
694,"559"
695,"567"
696,"581"
697,"545"
698,"527"
699,"521"
700,"490"
701,"478"
702,"524"
703,"473"
704,"438"
705,"439"
706,"422"
707,"414"
708,"391"
709,"412"
710,"372"
711,"357"
712,"324"
713,"348"
714,"310"
715,"307"
716,"292"
717,"274"
718,"273"
719,"250"
720,"255"
721,"210"
722,"221"
723,"204"
724,"219"
725,"226"
726,"166"
727,"163"
728,"160"
729,"144"
730,"139"
731,"137"
732,"123"
733,"123"
734,"145"
735,"124"
736,"104"
737,"114"
738,"107"
739,"110"
740,"79"
741,"72"
742,"59"
743,"76"
744,"65"
745,"62"
746,"67"
747,"34"
748,"35"
749,"38"
750,"35"
751,"34"
752,"18"
753,"22"
754,"13"
755,"17"
756,"14"
757,"9"
758,"8"
759,"11"
760,"6"
761,"8"
762,"11"
763,"8"
764,"5"
765,"9"
766,"2"
767,"5"
768,"4"
769,"8"
770,"8"
771,"6"
772,"4"
773,"5"
774,"8"
775,"3"
776,"7"
777,"2"
778,"4"
779,"3"
780,"2"
781,"8"
782,"5"
783,"2"
784,"3"
785,"5"
786,"2"
787,"2"
788,"2"
789,"5"
790,"3"
791,"5"
792,"3"
793,"8"
794,"2"
795,"2"
796,"5"
797,"3"
798,"5"
799,"6"
800,"7"
801,"5"
802,"6"
803,"3"
804,"2"
805,"2"
806,"6"
807,"4"
808,"6"
809,"2"
810,"8"
811,"5"
812,"5"
813,"2"
814,"1"
815,"3"
816,"2"
817,"4"
818,"2"
819,"4"
820,"7"
821,"6"
822,"4"
823,"1"
824,"3"
825,"2"
826,"3"
827,"2"
828,"1"
829,"6"
830,"4"
831,"4"
832,"4"
833,"4"
834,"3"
835,"2"
836,"4"
837,"2"
838,"4"
839,"3"
840,"3"
841,"3"
842,"4"
843,"0"
844,"2"
845,"6"
846,"3"
847,"2"
848,"5"
849,"3"
850,"3"
851,"3"
852,"5"
853,"2"
854,"9"
855,"4"
856,"0"
857,"3"
858,"5"
859,"3"
860,"4"
861,"4"
862,"3"
863,"0"
864,"0"
865,"3"
866,"2"
867,"3"
868,"6"
869,"3"
870,"2"
871,"2"
872,"3"
873,"2"
874,"1"
875,"3"
876,"1"
877,"1"
878,"2"
879,"3"
880,"3"
881,"2"
882,"2"
883,"4"
884,"1"
885,"2"
886,"5"
887,"4"
888,"2"
889,"4"
890,"4"
891,"0"
892,"3"
893,"5"
894,"1"
895,"1"
896,"3"
897,"1"
898,"3"
899,"3"
900,"5"
901,"1"
902,"1"
903,"1"
904,"0"
905,"0"
906,"4"
907,"3"
908,"6"
909,"0"
910,"2"
911,"1"
912,"0"
913,"0"
914,"5"
915,"2"
916,"1"
917,"3"
918,"0"
919,"2"
920,"1"
921,"1"
922,"1"
923,"0"
924,"0"
925,"5"
926,"5"
927,"2"
928,"4"
929,"3"
930,"2"
931,"4"
932,"1"
933,"3"
934,"2"
935,"1"
936,"4"
937,"0"
938,"2"
939,"2"
940,"2"
941,"7"
942,"1"
943,"4"
944,"0"
945,"3"
946,"4"
947,"2"
948,"2"
949,"4"
950,"2"
951,"0"
952,"1"
953,"4"
954,"2"
955,"6"
956,"2"
957,"2"
958,"2"
959,"2"
960,"1"
961,"1"
962,"3"
963,"1"
964,"2"
965,"1"
966,"0"
967,"3"
968,"3"
969,"3"
970,"2"
971,"3"
972,"3"
973,"2"
974,"1"
975,"2"
976,"1"
977,"1"
978,"0"
979,"2"
980,"1"
981,"2"
982,"0"
983,"0"
984,"0"
985,"2"
986,"1"
987,"0"
988,"4"
989,"2"
990,"0"
991,"0"
992,"2"
993,"1"
994,"0"
995,"2"
996,"3"
997,"1"
998,"3"
999,"0"
1000,"2"
1001,"0"
1002,"1"
1003,"2"
1004,"2"
1005,"0"
1006,"0"
1007,"0"
1008,"2"
1009,"5"
1010,"1"
1011,"1"
1012,"0"
1013,"2"
1014,"1"
1015,"1"
1016,"0"
1017,"0"
1018,"2"
1019,"2"
1020,"1"
1021,"0"
1022,"1"
1023,"0"
1024,"3"
1025,"0"
1026,"1"
1027,"1"
1028,"1"
1029,"0"
1030,"0"
1031,"1"
1032,"2"
1033,"2"
1034,"1"
1035,"0"
1036,"0"
1037,"0"
1038,"1"
1039,"0"
1040,"2"
1041,"1"
1042,"2"
1043,"0"
1044,"1"
1045,"1"
1046,"1"
1047,"1"
1048,"2"
1049,"2"
1050,"0"
1051,"0"
1052,"1"
1053,"0"
1054,"0"
1055,"0"
1056,"0"
1057,"1"
1058,"0"
1059,"0"
1060,"0"
1061,"0"
1062,"0"
1063,"1"
1064,"1"
1065,"0"
1066,"1"
1067,"0"
1068,"0"
1069,"0"
1070,"1"
1071,"1"
1072,"0"
1073,"1"
1074,"0"
1075,"0"
1076,"0"
1077,"0"
1078,"1"
1079,"0"
1080,"1"
1081,"3"
1082,"0"
1083,"1"
1084,"0"
1085,"0"
1086,"1"
1087,"3"
1088,"0"
1089,"0"
1090,"0"
1091,"0"
1092,"0"
1093,"1"
1094,"0"
1095,"0"
1096,"0"
1097,"2"
1098,"0"
1099,"0"
1100,"0"
1101,"0"
1102,"1"
1103,"0"
1104,"2"
1105,"0"
1106,"1"
1107,"0"
1108,"0"
1109,"1"
1110,"0"
1111,"0"
1112,"1"
1113,"0"
1114,"0"
1115,"0"
1116,"0"
1117,"0"
1118,"0"
1119,"1"
1120,"0"
1121,"0"
1122,"0"
1123,"1"
1124,"0"
1125,"0"
1126,"0"
1127,"0"
1128,"1"
1129,"0"
1130,"0"
1131,"1"
1132,"0"
1133,"0"
1134,"0"
1135,"0"
