Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15RTC-W-265-IVSD-MAJ"
Duration Time,180.686
Ambient Temperature,"105.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"2783713"
Raw Accumulated Counts,"2898785"
Valid Count Last Packet,"14727"
Raw Count Last Packet,"15293"
Live Time,173.627029
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8364
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5986"
1,"4917"
2,"2824"
3,"1290"
4,"438"
5,"97"
6,"23"
7,"5"
8,"1"
9,"2"
10,"1"
11,"0"
12,"1"
13,"0"
14,"1"
15,"0"
16,"1"
17,"0"
18,"2"
19,"0"
20,"0"
21,"0"
22,"0"
23,"1"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"6"
32,"64"
33,"181"
34,"288"
35,"286"
36,"310"
37,"321"
38,"281"
39,"314"
40,"305"
41,"316"
42,"326"
43,"316"
44,"376"
45,"438"
46,"430"
47,"519"
48,"500"
49,"510"
50,"463"
51,"406"
52,"448"
53,"413"
54,"438"
55,"447"
56,"456"
57,"445"
58,"444"
59,"454"
60,"479"
61,"503"
62,"547"
63,"546"
64,"532"
65,"488"
66,"495"
67,"537"
68,"567"
69,"587"
70,"763"
71,"1137"
72,"1676"
73,"2379"
74,"2906"
75,"3166"
76,"2901"
77,"2354"
78,"1878"
79,"1557"
80,"1547"
81,"2173"
82,"4248"
83,"9296"
84,"19133"
85,"34151"
86,"50329"
87,"62064"
88,"62848"
89,"53687"
90,"38127"
91,"23259"
92,"12776"
93,"6833"
94,"3704"
95,"2147"
96,"1469"
97,"1152"
98,"1132"
99,"1262"
100,"1430"
101,"1546"
102,"1526"
103,"1265"
104,"1111"
105,"905"
106,"833"
107,"740"
108,"732"
109,"794"
110,"943"
111,"1314"
112,"2163"
113,"3305"
114,"4932"
115,"6164"
116,"6883"
117,"6778"
118,"5624"
119,"4104"
120,"2845"
121,"2088"
122,"1611"
123,"1504"
124,"1464"
125,"1421"
126,"1447"
127,"1431"
128,"1527"
129,"1953"
130,"2544"
131,"3738"
132,"5394"
133,"7700"
134,"10109"
135,"11939"
136,"12734"
137,"11935"
138,"10219"
139,"8469"
140,"7408"
141,"7241"
142,"7383"
143,"7681"
144,"7282"
145,"6638"
146,"5631"
147,"4627"
148,"4085"
149,"3568"
150,"3079"
151,"2533"
152,"2126"
153,"1713"
154,"1443"
155,"1201"
156,"1027"
157,"1025"
158,"1074"
159,"1116"
160,"1316"
161,"1791"
162,"2954"
163,"4731"
164,"7295"
165,"10413"
166,"12879"
167,"13848"
168,"13115"
169,"10799"
170,"7960"
171,"5281"
172,"3128"
173,"1836"
174,"1233"
175,"1087"
176,"1233"
177,"1453"
178,"2075"
179,"2877"
180,"3959"
181,"5626"
182,"8176"
183,"11607"
184,"15079"
185,"18160"
186,"19631"
187,"18314"
188,"15498"
189,"11447"
190,"7374"
191,"4570"
192,"2613"
193,"1641"
194,"1174"
195,"1111"
196,"1186"
197,"1399"
198,"1814"
199,"2353"
200,"2903"
201,"3478"
202,"3771"
203,"3753"
204,"3381"
205,"2825"
206,"2233"
207,"1776"
208,"1380"
209,"1225"
210,"1139"
211,"1118"
212,"1126"
213,"1119"
214,"1218"
215,"1127"
216,"1126"
217,"1235"
218,"1316"
219,"1358"
220,"1554"
221,"1925"
222,"2563"
223,"3349"
224,"4462"
225,"5357"
226,"6337"
227,"6677"
228,"6490"
229,"5805"
230,"4745"
231,"3718"
232,"2946"
233,"2379"
234,"2000"
235,"1759"
236,"1703"
237,"1735"
238,"1756"
239,"1764"
240,"1891"
241,"2061"
242,"2233"
243,"2585"
244,"2803"
245,"3310"
246,"3732"
247,"4529"
248,"4918"
249,"5232"
250,"5029"
251,"4801"
252,"4132"
253,"3437"
254,"2936"
255,"2616"
256,"2283"
257,"2209"
258,"2128"
259,"2180"
260,"2242"
261,"2164"
262,"2255"
263,"2213"
264,"2235"
265,"2325"
266,"2417"
267,"2534"
268,"2586"
269,"2761"
270,"2991"
271,"3284"
272,"3599"
273,"3662"
274,"3572"
275,"3437"
276,"3140"
277,"2983"
278,"2740"
279,"2594"
280,"2548"
281,"2443"
282,"2440"
283,"2419"
284,"2414"
285,"2364"
286,"2498"
287,"2537"
288,"2471"
289,"2553"
290,"2512"
291,"2631"
292,"2734"
293,"2724"
294,"2703"
295,"2826"
296,"2790"
297,"2972"
298,"2885"
299,"2958"
300,"3105"
301,"2892"
302,"2849"
303,"2849"
304,"2917"
305,"2825"
306,"2851"
307,"2969"
308,"2886"
309,"2983"
310,"2987"
311,"3163"
312,"3287"
313,"3704"
314,"4802"
315,"6726"
316,"10110"
317,"15701"
318,"24164"
319,"35024"
320,"46924"
321,"58053"
322,"64829"
323,"66543"
324,"62257"
325,"53136"
326,"41151"
327,"29849"
328,"19901"
329,"12645"
330,"8111"
331,"5338"
332,"3822"
333,"3195"
334,"2899"
335,"2868"
336,"2834"
337,"2872"
338,"2876"
339,"2861"
340,"2971"
341,"3022"
342,"2871"
343,"3069"
344,"3100"
345,"3110"
346,"3250"
347,"3477"
348,"3906"
349,"4437"
350,"5348"
351,"6659"
352,"8291"
353,"10106"
354,"11651"
355,"12526"
356,"12794"
357,"12069"
358,"10967"
359,"9493"
360,"7585"
361,"5800"
362,"4752"
363,"3908"
364,"3427"
365,"3237"
366,"3095"
367,"3074"
368,"3121"
369,"3268"
370,"3396"
371,"3621"
372,"3861"
373,"4436"
374,"4829"
375,"5168"
376,"5432"
377,"5499"
378,"5232"
379,"4919"
380,"4509"
381,"3950"
382,"3547"
383,"3206"
384,"2970"
385,"2882"
386,"2718"
387,"2681"
388,"2600"
389,"2576"
390,"2608"
391,"2600"
392,"2653"
393,"2572"
394,"2585"
395,"2591"
396,"2696"
397,"2756"
398,"2896"
399,"3070"
400,"3110"
401,"3549"
402,"3824"
403,"4319"
404,"4608"
405,"4885"
406,"4814"
407,"4681"
408,"4447"
409,"3978"
410,"3686"
411,"3389"
412,"3144"
413,"3048"
414,"3102"
415,"3072"
416,"3011"
417,"3088"
418,"2977"
419,"2935"
420,"2895"
421,"2779"
422,"2769"
423,"2641"
424,"2692"
425,"2684"
426,"2809"
427,"2813"
428,"3168"
429,"3509"
430,"4007"
431,"4765"
432,"5312"
433,"6197"
434,"6616"
435,"6874"
436,"6994"
437,"6588"
438,"6010"
439,"5233"
440,"4510"
441,"3942"
442,"3486"
443,"3124"
444,"2998"
445,"2963"
446,"2909"
447,"2972"
448,"2926"
449,"3015"
450,"2892"
451,"2838"
452,"2965"
453,"2831"
454,"2700"
455,"2742"
456,"2631"
457,"2685"
458,"2648"
459,"2647"
460,"2712"
461,"2669"
462,"2674"
463,"2660"
464,"2589"
465,"2653"
466,"2654"
467,"2728"
468,"2627"
469,"2623"
470,"2708"
471,"2563"
472,"2672"
473,"2643"
474,"2621"
475,"2654"
476,"2744"
477,"2779"
478,"2943"
479,"2992"
480,"3114"
481,"3099"
482,"3217"
483,"3185"
484,"3239"
485,"3126"
486,"3093"
487,"2974"
488,"2846"
489,"2686"
490,"2735"
491,"2618"
492,"2602"
493,"2617"
494,"2511"
495,"2456"
496,"2485"
497,"2550"
498,"2544"
499,"2435"
500,"2460"
501,"2513"
502,"2552"
503,"2453"
504,"2540"
505,"2437"
506,"2473"
507,"2434"
508,"2434"
509,"2419"
510,"2429"
511,"2496"
512,"2374"
513,"2447"
514,"2474"
515,"2415"
516,"2489"
517,"2404"
518,"2312"
519,"2416"
520,"2391"
521,"2408"
522,"2393"
523,"2317"
524,"2224"
525,"2342"
526,"2352"
527,"2410"
528,"2382"
529,"2383"
530,"2375"
531,"2400"
532,"2396"
533,"2274"
534,"2239"
535,"2260"
536,"2268"
537,"2199"
538,"2168"
539,"2156"
540,"2179"
541,"2079"
542,"2064"
543,"2084"
544,"2040"
545,"2191"
546,"2145"
547,"2021"
548,"2106"
549,"2048"
550,"2039"
551,"2005"
552,"1969"
553,"2051"
554,"1914"
555,"2029"
556,"1921"
557,"1990"
558,"1919"
559,"1998"
560,"1918"
561,"1939"
562,"1915"
563,"1964"
564,"1967"
565,"2014"
566,"1922"
567,"1917"
568,"1965"
569,"1888"
570,"1836"
571,"1809"
572,"1856"
573,"1800"
574,"1786"
575,"1805"
576,"1858"
577,"1800"
578,"1781"
579,"1751"
580,"1856"
581,"1823"
582,"1758"
583,"1699"
584,"1613"
585,"1761"
586,"1773"
587,"1764"
588,"1701"
589,"1757"
590,"1712"
591,"1649"
592,"1671"
593,"1710"
594,"1638"
595,"1547"
596,"1633"
597,"1651"
598,"1603"
599,"1513"
600,"1585"
601,"1578"
602,"1487"
603,"1491"
604,"1613"
605,"1514"
606,"1529"
607,"1509"
608,"1517"
609,"1448"
610,"1511"
611,"1443"
612,"1390"
613,"1341"
614,"1437"
615,"1408"
616,"1430"
617,"1295"
618,"1448"
619,"1428"
620,"1379"
621,"1360"
622,"1352"
623,"1359"
624,"1299"
625,"1365"
626,"1332"
627,"1404"
628,"1304"
629,"1321"
630,"1338"
631,"1287"
632,"1248"
633,"1282"
634,"1237"
635,"1202"
636,"1216"
637,"1206"
638,"1204"
639,"1201"
640,"1127"
641,"1131"
642,"1157"
643,"1134"
644,"1152"
645,"1126"
646,"1085"
647,"1112"
648,"1142"
649,"1051"
650,"1060"
651,"1097"
652,"1034"
653,"1026"
654,"1030"
655,"995"
656,"1011"
657,"949"
658,"988"
659,"980"
660,"948"
661,"922"
662,"905"
663,"870"
664,"861"
665,"855"
666,"869"
667,"901"
668,"776"
669,"868"
670,"818"
671,"803"
672,"829"
673,"823"
674,"795"
675,"772"
676,"774"
677,"744"
678,"771"
679,"689"
680,"726"
681,"650"
682,"708"
683,"654"
684,"689"
685,"691"
686,"667"
687,"629"
688,"656"
689,"554"
690,"617"
691,"593"
692,"563"
693,"530"
694,"539"
695,"541"
696,"514"
697,"558"
698,"492"
699,"482"
700,"471"
701,"447"
702,"474"
703,"431"
704,"408"
705,"425"
706,"405"
707,"361"
708,"370"
709,"341"
710,"319"
711,"332"
712,"328"
713,"303"
714,"300"
715,"271"
716,"307"
717,"284"
718,"244"
719,"246"
720,"214"
721,"214"
722,"189"
723,"196"
724,"186"
725,"175"
726,"181"
727,"138"
728,"151"
729,"136"
730,"147"
731,"153"
732,"125"
733,"127"
734,"127"
735,"90"
736,"121"
737,"88"
738,"97"
739,"84"
740,"90"
741,"81"
742,"83"
743,"68"
744,"61"
745,"53"
746,"49"
747,"47"
748,"39"
749,"31"
750,"37"
751,"37"
752,"24"
753,"24"
754,"22"
755,"10"
756,"6"
757,"14"
758,"15"
759,"10"
760,"9"
761,"5"
762,"6"
763,"11"
764,"7"
765,"5"
766,"16"
767,"6"
768,"3"
769,"5"
770,"6"
771,"6"
772,"5"
773,"4"
774,"2"
775,"5"
776,"6"
777,"6"
778,"3"
779,"5"
780,"5"
781,"9"
782,"8"
783,"3"
784,"7"
785,"3"
786,"2"
787,"2"
788,"9"
789,"3"
790,"4"
791,"4"
792,"7"
793,"2"
794,"8"
795,"4"
796,"3"
797,"3"
798,"5"
799,"8"
800,"3"
801,"6"
802,"4"
803,"5"
804,"6"
805,"5"
806,"4"
807,"4"
808,"5"
809,"1"
810,"4"
811,"4"
812,"5"
813,"4"
814,"4"
815,"7"
816,"5"
817,"2"
818,"3"
819,"1"
820,"2"
821,"4"
822,"3"
823,"3"
824,"2"
825,"1"
826,"2"
827,"4"
828,"3"
829,"5"
830,"2"
831,"5"
832,"2"
833,"3"
834,"3"
835,"6"
836,"4"
837,"6"
838,"5"
839,"1"
840,"3"
841,"2"
842,"1"
843,"5"
844,"2"
845,"2"
846,"6"
847,"2"
848,"5"
849,"5"
850,"4"
851,"3"
852,"3"
853,"2"
854,"0"
855,"4"
856,"2"
857,"2"
858,"4"
859,"6"
860,"2"
861,"3"
862,"3"
863,"2"
864,"2"
865,"3"
866,"2"
867,"2"
868,"6"
869,"5"
870,"4"
871,"0"
872,"2"
873,"4"
874,"4"
875,"4"
876,"5"
877,"1"
878,"2"
879,"1"
880,"0"
881,"5"
882,"2"
883,"4"
884,"4"
885,"2"
886,"4"
887,"0"
888,"0"
889,"1"
890,"2"
891,"4"
892,"4"
893,"4"
894,"0"
895,"2"
896,"5"
897,"2"
898,"2"
899,"3"
900,"1"
901,"1"
902,"1"
903,"3"
904,"7"
905,"4"
906,"3"
907,"4"
908,"1"
909,"4"
910,"3"
911,"3"
912,"2"
913,"2"
914,"4"
915,"1"
916,"1"
917,"2"
918,"4"
919,"1"
920,"3"
921,"2"
922,"2"
923,"2"
924,"2"
925,"2"
926,"3"
927,"2"
928,"3"
929,"1"
930,"1"
931,"2"
932,"2"
933,"2"
934,"3"
935,"3"
936,"3"
937,"1"
938,"1"
939,"1"
940,"3"
941,"1"
942,"3"
943,"1"
944,"3"
945,"0"
946,"1"
947,"3"
948,"0"
949,"2"
950,"2"
951,"1"
952,"0"
953,"0"
954,"1"
955,"3"
956,"2"
957,"3"
958,"2"
959,"1"
960,"5"
961,"3"
962,"2"
963,"3"
964,"5"
965,"1"
966,"3"
967,"3"
968,"1"
969,"1"
970,"2"
971,"2"
972,"1"
973,"0"
974,"1"
975,"0"
976,"2"
977,"1"
978,"3"
979,"3"
980,"1"
981,"1"
982,"2"
983,"2"
984,"2"
985,"2"
986,"1"
987,"0"
988,"0"
989,"2"
990,"1"
991,"1"
992,"2"
993,"1"
994,"1"
995,"0"
996,"1"
997,"2"
998,"1"
999,"3"
1000,"1"
1001,"2"
1002,"3"
1003,"0"
1004,"0"
1005,"0"
1006,"1"
1007,"1"
1008,"3"
1009,"2"
1010,"1"
1011,"1"
1012,"1"
1013,"0"
1014,"2"
1015,"0"
1016,"2"
1017,"2"
1018,"0"
1019,"2"
1020,"1"
1021,"0"
1022,"3"
1023,"0"
1024,"1"
1025,"0"
1026,"1"
1027,"2"
1028,"1"
1029,"0"
1030,"3"
1031,"1"
1032,"0"
1033,"1"
1034,"0"
1035,"0"
1036,"1"
1037,"1"
1038,"2"
1039,"1"
1040,"0"
1041,"2"
1042,"0"
1043,"0"
1044,"0"
1045,"1"
1046,"1"
1047,"0"
1048,"0"
1049,"0"
1050,"2"
1051,"0"
1052,"0"
1053,"2"
1054,"1"
1055,"0"
1056,"2"
1057,"0"
1058,"2"
1059,"0"
1060,"2"
1061,"0"
1062,"0"
1063,"2"
1064,"0"
1065,"0"
1066,"3"
1067,"0"
1068,"2"
1069,"1"
1070,"1"
1071,"1"
1072,"0"
1073,"0"
1074,"0"
1075,"0"
1076,"0"
1077,"0"
1078,"1"
1079,"0"
1080,"0"
1081,"0"
1082,"1"
1083,"0"
1084,"0"
1085,"0"
1086,"0"
1087,"3"
1088,"1"
1089,"1"
1090,"1"
1091,"0"
1092,"0"
1093,"0"
1094,"0"
1095,"2"
1096,"1"
1097,"1"
1098,"1"
1099,"0"
1100,"1"
1101,"0"
1102,"0"
1103,"0"
1104,"0"
1105,"0"
1106,"0"
1107,"0"
1108,"1"
1109,"0"
1110,"0"
1111,"0"
1112,"0"
1113,"1"
1114,"0"
1115,"0"
1116,"1"
1117,"1"
1118,"0"
1119,"0"
1120,"1"
1121,"1"
1122,"1"
1123,"1"
1124,"1"
1125,"0"
1126,"0"
1127,"0"
1128,"1"
1129,"0"
1130,"1"
1131,"1"
1132,"1"
1133,"2"
1134,"0"
1135,"1"
1136,"0"
1137,"1"
1138,"0"
1139,"0"
1140,"0"
1141,"0"
1142,"1"
