Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"MS15D4R-118-IVSD-MAJ"
Duration Time,180.342
Ambient Temperature,"105.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"3774411"
Raw Accumulated Counts,"3990117"
Valid Count Last Packet,"19795"
Raw Count Last Packet,"20905"
Live Time,170.595001
HV DAC,105
HV ADC,15.000000
Filament DAC,231
Filament ADC,25.000000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,19.8358
Number of Channels,2048
Vacuum,0
Channel#,Intensity
0,"5787"
1,"4727"
2,"2866"
3,"1264"
4,"460"
5,"92"
6,"17"
7,"6"
8,"4"
9,"3"
10,"0"
11,"0"
12,"1"
13,"1"
14,"0"
15,"1"
16,"2"
17,"0"
18,"0"
19,"2"
20,"0"
21,"1"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"1"
31,"7"
32,"79"
33,"225"
34,"255"
35,"315"
36,"337"
37,"347"
38,"353"
39,"390"
40,"355"
41,"356"
42,"367"
43,"368"
44,"409"
45,"463"
46,"518"
47,"525"
48,"558"
49,"537"
50,"489"
51,"463"
52,"490"
53,"502"
54,"489"
55,"500"
56,"468"
57,"486"
58,"478"
59,"521"
60,"489"
61,"529"
62,"566"
63,"597"
64,"613"
65,"583"
66,"579"
67,"569"
68,"614"
69,"802"
70,"1251"
71,"2339"
72,"3933"
73,"5985"
74,"7510"
75,"7953"
76,"6962"
77,"5552"
78,"3936"
79,"2651"
80,"2002"
81,"2078"
82,"3288"
83,"6519"
84,"13179"
85,"23497"
86,"34683"
87,"42364"
88,"43059"
89,"36521"
90,"26077"
91,"16067"
92,"8715"
93,"4824"
94,"2725"
95,"1660"
96,"1136"
97,"952"
98,"852"
99,"942"
100,"1033"
101,"1109"
102,"1088"
103,"970"
104,"899"
105,"789"
106,"663"
107,"677"
108,"675"
109,"700"
110,"802"
111,"903"
112,"1252"
113,"1730"
114,"2378"
115,"2965"
116,"3316"
117,"3126"
118,"2860"
119,"2345"
120,"1819"
121,"1462"
122,"1288"
123,"1215"
124,"1206"
125,"1261"
126,"1287"
127,"1375"
128,"1515"
129,"1839"
130,"2561"
131,"3728"
132,"5555"
133,"8029"
134,"10500"
135,"12647"
136,"13135"
137,"12488"
138,"10774"
139,"8897"
140,"8004"
141,"7917"
142,"8123"
143,"8351"
144,"7869"
145,"6868"
146,"5863"
147,"4992"
148,"4270"
149,"3804"
150,"3202"
151,"2839"
152,"2328"
153,"1985"
154,"1555"
155,"1409"
156,"1287"
157,"1215"
158,"1319"
159,"1614"
160,"2255"
161,"3733"
162,"6684"
163,"11749"
164,"18871"
165,"26716"
166,"33311"
167,"36294"
168,"34308"
169,"28054"
170,"20009"
171,"12730"
172,"7127"
173,"3892"
174,"2136"
175,"1744"
176,"1910"
177,"2664"
178,"3628"
179,"4864"
180,"5958"
181,"6701"
182,"7423"
183,"7655"
184,"7742"
185,"7847"
186,"7503"
187,"6803"
188,"5485"
189,"4015"
190,"2861"
191,"1988"
192,"1363"
193,"1100"
194,"962"
195,"954"
196,"1020"
197,"1036"
198,"1185"
199,"1350"
200,"1598"
201,"1726"
202,"1911"
203,"1952"
204,"1806"
205,"1654"
206,"1448"
207,"1376"
208,"1256"
209,"1245"
210,"1150"
211,"1251"
212,"1195"
213,"1197"
214,"1268"
215,"1340"
216,"1323"
217,"1355"
218,"1508"
219,"1635"
220,"1986"
221,"2692"
222,"3789"
223,"5670"
224,"8131"
225,"10597"
226,"13115"
227,"14190"
228,"13941"
229,"12194"
230,"9959"
231,"7552"
232,"5429"
233,"4142"
234,"3061"
235,"2652"
236,"2478"
237,"2257"
238,"2109"
239,"2003"
240,"1994"
241,"2185"
242,"2288"
243,"2652"
244,"2884"
245,"3312"
246,"3861"
247,"4200"
248,"4443"
249,"4442"
250,"4466"
251,"3892"
252,"3459"
253,"3021"
254,"2693"
255,"2391"
256,"2273"
257,"2178"
258,"2298"
259,"2289"
260,"2273"
261,"2397"
262,"2449"
263,"2524"
264,"2477"
265,"2543"
266,"2577"
267,"2532"
268,"2640"
269,"2683"
270,"2793"
271,"2947"
272,"2945"
273,"3041"
274,"2904"
275,"3017"
276,"2830"
277,"2714"
278,"2740"
279,"2632"
280,"2608"
281,"2748"
282,"2678"
283,"2642"
284,"2644"
285,"2681"
286,"2664"
287,"2722"
288,"2731"
289,"2767"
290,"2738"
291,"2893"
292,"3092"
293,"3073"
294,"3325"
295,"3673"
296,"3788"
297,"3813"
298,"3853"
299,"3809"
300,"3576"
301,"3474"
302,"3205"
303,"3304"
304,"3201"
305,"3173"
306,"3212"
307,"3295"
308,"3299"
309,"3291"
310,"3602"
311,"3879"
312,"4454"
313,"5905"
314,"8465"
315,"14328"
316,"24237"
317,"40161"
318,"64552"
319,"95232"
320,"129029"
321,"159146"
322,"179507"
323,"183415"
324,"171289"
325,"144501"
326,"111501"
327,"78187"
328,"50322"
329,"30646"
330,"17459"
331,"9967"
332,"5978"
333,"4332"
334,"3472"
335,"3110"
336,"3181"
337,"3024"
338,"3077"
339,"2986"
340,"3099"
341,"3162"
342,"3250"
343,"3303"
344,"3522"
345,"3650"
346,"4114"
347,"4742"
348,"5617"
349,"7413"
350,"9955"
351,"13608"
352,"18028"
353,"22684"
354,"27317"
355,"30309"
356,"30648"
357,"28953"
358,"25324"
359,"20571"
360,"15447"
361,"11326"
362,"7899"
363,"5490"
364,"4065"
365,"3430"
366,"2977"
367,"2884"
368,"2776"
369,"2874"
370,"2893"
371,"2999"
372,"3144"
373,"3172"
374,"3470"
375,"3648"
376,"3582"
377,"3649"
378,"3631"
379,"3325"
380,"3197"
381,"3040"
382,"2716"
383,"2569"
384,"2599"
385,"2430"
386,"2448"
387,"2423"
388,"2459"
389,"2419"
390,"2442"
391,"2399"
392,"2406"
393,"2411"
394,"2484"
395,"2316"
396,"2318"
397,"2282"
398,"2440"
399,"2409"
400,"2394"
401,"2549"
402,"2516"
403,"2571"
404,"2524"
405,"2558"
406,"2546"
407,"2556"
408,"2592"
409,"2492"
410,"2548"
411,"2505"
412,"2547"
413,"2457"
414,"2464"
415,"2445"
416,"2533"
417,"2403"
418,"2455"
419,"2356"
420,"2537"
421,"2383"
422,"2361"
423,"2376"
424,"2320"
425,"2367"
426,"2368"
427,"2388"
428,"2339"
429,"2382"
430,"2445"
431,"2447"
432,"2640"
433,"2587"
434,"2697"
435,"2705"
436,"2662"
437,"2737"
438,"2665"
439,"2489"
440,"2570"
441,"2476"
442,"2332"
443,"2379"
444,"2315"
445,"2304"
446,"2353"
447,"2328"
448,"2357"
449,"2300"
450,"2325"
451,"2323"
452,"2303"
453,"2353"
454,"2354"
455,"2295"
456,"2312"
457,"2465"
458,"2402"
459,"2336"
460,"2343"
461,"2338"
462,"2430"
463,"2468"
464,"2400"
465,"2398"
466,"2468"
467,"2370"
468,"2436"
469,"2365"
470,"2257"
471,"2428"
472,"2319"
473,"2327"
474,"2315"
475,"2359"
476,"2282"
477,"2267"
478,"2277"
479,"2355"
480,"2406"
481,"2311"
482,"2334"
483,"2243"
484,"2367"
485,"2283"
486,"2199"
487,"2349"
488,"2222"
489,"2247"
490,"2245"
491,"2310"
492,"2291"
493,"2244"
494,"2195"
495,"2196"
496,"2276"
497,"2217"
498,"2174"
499,"2194"
500,"2224"
501,"2216"
502,"2116"
503,"2231"
504,"2115"
505,"2210"
506,"2144"
507,"2140"
508,"2149"
509,"2054"
510,"2134"
511,"2101"
512,"2120"
513,"2038"
514,"2060"
515,"2067"
516,"2145"
517,"2046"
518,"2042"
519,"2080"
520,"2084"
521,"2010"
522,"2008"
523,"1982"
524,"2004"
525,"1974"
526,"1967"
527,"2004"
528,"1970"
529,"2040"
530,"1976"
531,"2041"
532,"1974"
533,"1948"
534,"1931"
535,"1933"
536,"1875"
537,"1917"
538,"1860"
539,"1922"
540,"1906"
541,"1904"
542,"1915"
543,"1822"
544,"1815"
545,"1796"
546,"1852"
547,"1856"
548,"1822"
549,"1865"
550,"1868"
551,"1790"
552,"1799"
553,"1837"
554,"1799"
555,"1831"
556,"1733"
557,"1722"
558,"1684"
559,"1667"
560,"1702"
561,"1676"
562,"1735"
563,"1746"
564,"1662"
565,"1731"
566,"1594"
567,"1753"
568,"1720"
569,"1650"
570,"1630"
571,"1666"
572,"1649"
573,"1640"
574,"1633"
575,"1618"
576,"1573"
577,"1642"
578,"1625"
579,"1594"
580,"1566"
581,"1547"
582,"1504"
583,"1524"
584,"1551"
585,"1531"
586,"1575"
587,"1499"
588,"1517"
589,"1542"
590,"1487"
591,"1461"
592,"1435"
593,"1492"
594,"1416"
595,"1436"
596,"1329"
597,"1380"
598,"1458"
599,"1371"
600,"1377"
601,"1431"
602,"1312"
603,"1336"
604,"1313"
605,"1354"
606,"1352"
607,"1420"
608,"1325"
609,"1292"
610,"1284"
611,"1308"
612,"1239"
613,"1278"
614,"1241"
615,"1297"
616,"1211"
617,"1222"
618,"1197"
619,"1171"
620,"1264"
621,"1223"
622,"1202"
623,"1179"
624,"1147"
625,"1200"
626,"1173"
627,"1097"
628,"1158"
629,"1107"
630,"1123"
631,"1083"
632,"1086"
633,"1042"
634,"1036"
635,"1065"
636,"1093"
637,"1091"
638,"1097"
639,"1025"
640,"1052"
641,"1088"
642,"1103"
643,"1027"
644,"1136"
645,"1076"
646,"1073"
647,"1068"
648,"1051"
649,"1036"
650,"987"
651,"979"
652,"946"
653,"959"
654,"849"
655,"893"
656,"901"
657,"911"
658,"912"
659,"821"
660,"857"
661,"842"
662,"784"
663,"748"
664,"757"
665,"742"
666,"745"
667,"765"
668,"708"
669,"777"
670,"728"
671,"708"
672,"717"
673,"687"
674,"730"
675,"683"
676,"677"
677,"710"
678,"649"
679,"659"
680,"647"
681,"682"
682,"636"
683,"623"
684,"600"
685,"580"
686,"539"
687,"549"
688,"556"
689,"510"
690,"553"
691,"570"
692,"495"
693,"522"
694,"462"
695,"470"
696,"465"
697,"451"
698,"431"
699,"418"
700,"401"
701,"405"
702,"399"
703,"381"
704,"406"
705,"374"
706,"341"
707,"310"
708,"337"
709,"304"
710,"295"
711,"269"
712,"281"
713,"268"
714,"270"
715,"280"
716,"259"
717,"248"
718,"222"
719,"226"
720,"210"
721,"210"
722,"175"
723,"175"
724,"169"
725,"166"
726,"165"
727,"153"
728,"144"
729,"153"
730,"137"
731,"104"
732,"116"
733,"95"
